word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
parfaire,1710-1720,1750-1760,0.889707,0.110293,73,105,,0.007435,0.992565,,
l'em,1730-1740,1780-1789,0.889239,0.110761,580,1671,,,,,
frédéric,1720-1730,1770-1780,0.889067,0.110933,195,741,,0.020034,0.979966,,
pressez,1720-1730,1750-1760,0.888793,0.111207,72,58,,,,,
leg,1730-1740,1780-1789,0.888791,0.111209,705,731,,0.016463,0.983537,,
vendôme,1700-1710,1780-1789,0.88873,0.11127,700,215,,,,,
quoy,1700-1710,1789-1802,0.888162,0.111838,2392,62,,,,,
reve,1700-1710,1780-1789,0.888133,0.111867,73,349,,0.008103,0.991897,,
s'exprimer,1700-1710,1720-1730,0.88744,0.11256,52,71,,,,,
marée,1710-1720,1740-1750,0.887108,0.112892,487,658,,,,,
pénitence,1730-1740,1740-1750,0.887,0.113,212,199,,0.013547,0.986453,,
derechef,1760-1770,1789-1802,0.8869,0.1131,116,108,,,,,
luy,1700-1710,1789-1802,0.886703,0.113297,16002,445,,,,,
rion,1710-1720,1740-1750,0.886672,0.113328,143,282,,0.020079,0.979921,,
conter,1750-1760,1760-1770,0.88611,0.11389,359,415,,0.006913,0.993087,,
repré,1710-1720,1760-1770,0.885427,0.114573,57,512,,0.01775,0.98225,,
lorique,1700-1710,1740-1750,0.885009,0.114991,54,147,,0.009832,0.990168,,
turion,1700-1710,1789-1802,0.884606,0.115394,79,779,,0.016623,0.983377,,
legrand,1710-1720,1770-1780,0.884483,0.115517,62,181,,0.014121,0.985879,,
accordant,1700-1710,1750-1760,0.884223,0.115777,165,196,,0.165651,0.834349,,
légers,1700-1710,1710-1720,0.884173,0.115827,63,75,,0.024112,0.975888,,
d'importance,1700-1710,1750-1760,0.884123,0.115877,100,168,,,,,
gement,1720-1730,1770-1780,0.88395,0.11605,60,291,,0.012764,0.987236,,
icy,1710-1720,1789-1802,0.88356,0.11644,2141,57,,,,,
sauvez,1700-1710,1710-1720,0.883002,0.116998,106,72,,,,,
pluralité,1710-1720,1789-1802,0.882737,0.117263,252,929,,0.036646,0.963354,,
han,1730-1740,1770-1780,0.882349,0.117651,74,739,,0.021553,0.978447,,
majorité,1710-1720,1789-1802,0.882282,0.117718,67,2374,,0.081201,0.918799,,
posseder,1750-1760,1789-1802,0.882266,0.117734,97,50,,,,,
horn,1710-1720,1720-1730,0.882048,0.117952,72,68,,0.030135,0.969865,,
fieur,1720-1730,1780-1789,0.881945,0.118055,803,7733,,0.060307,0.939693,,
comite,1710-1720,1730-1740,0.881224,0.118776,55,219,,0.041697,0.958303,,
hormis,1720-1730,1770-1780,0.880607,0.119393,77,172,,,,,
restez,1700-1710,1750-1760,0.880229,0.119771,54,61,,0.056718,0.943282,,
rufien,1700-1710,1760-1770,0.879844,0.120156,167,123,,,,,
patte,1700-1710,1710-1720,0.87981,0.12019,347,71,,,,,
thé,1700-1710,1750-1760,0.879779,0.120221,91,1180,,0.070359,0.929641,,
lour,1710-1720,1789-1802,0.879691,0.120309,118,408,,,,,
nement,1700-1710,1780-1789,0.879689,0.120311,86,1077,,0.019306,0.980694,,
foy,1700-1710,1760-1770,0.879178,0.120822,2300,183,,,,,
l'approbation,1710-1720,1720-1730,0.879008,0.120992,126,169,,,,,
grammont,1710-1720,1720-1730,0.878954,0.121046,274,139,,,,,
fere,1730-1740,1740-1750,0.87892,0.12108,210,709,,0.019497,0.980503,,
aufll,1720-1730,1730-1740,0.878894,0.121106,120,115,,,,,
trefle,1730-1740,1780-1789,0.878763,0.121237,66,469,,0.038925,0.961075,,
quotient,1710-1720,1730-1740,0.878625,0.121375,218,54,,,,,
ruelle,1700-1710,1760-1770,0.878448,0.121552,71,312,,0.011813,0.988187,,
devin,1700-1710,1770-1780,0.876987,0.123013,68,361,,0.014293,0.985707,,
qu'est,1700-1710,1740-1750,0.876818,0.123182,696,1239,,,,,
prémier,1700-1710,1789-1802,0.876817,0.123183,276,64,,,,,
remontrer,1720-1730,1789-1802,0.876765,0.123235,97,86,,,,,
traitez,1700-1710,1789-1802,0.876155,0.123845,321,156,,,,,
raisonnablement,1770-1780,1789-1802,0.875764,0.124236,372,345,,0.012217,0.987783,,
noyer,1710-1720,1720-1730,0.875323,0.124677,116,415,,0.057732,0.942268,,
