word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
levres,1700-1710,1710-1720,0.567249,0.432751,59,91,
pensoit,1710-1720,1730-1740,0.567078,0.432922,110,441,
m'auroit,1700-1710,1710-1720,0.567054,0.432946,53,68,
catilina,1730-1740,1760-1770,0.567012,0.432988,424,84,
iront,1730-1740,1740-1750,0.566382,0.433618,122,189,
princesses,1700-1710,1730-1740,0.565845,0.434155,184,128,
piquent,1710-1720,1789-1802,0.565839,0.434161,69,88,
d'oiseaux,1710-1720,1750-1760,0.565315,0.434685,97,82,
démontré,1700-1710,1710-1720,0.565263,0.434737,108,176,
porteront,1700-1710,1730-1740,0.565184,0.434816,90,111,
déplaisir,1720-1730,1730-1740,0.565088,0.434912,58,106,
difficult,1740-1750,1789-1802,0.564904,0.435096,63,59,
l'aura,1740-1750,1750-1760,0.564879,0.435121,149,203,
sasse,1710-1720,1750-1760,0.564747,0.435253,227,701,
arriveroit,1700-1710,1750-1760,0.564585,0.435415,83,241,
desiroit,1710-1720,1720-1730,0.564419,0.435581,54,51,
viendront,1700-1710,1740-1750,0.564378,0.435622,226,273,
qu'aucune,1700-1710,1740-1750,0.564352,0.435648,123,328,
descendent,1700-1710,1750-1760,0.56417,0.43583,64,190,
ferma,1710-1720,1720-1730,0.563682,0.436318,66,72,
boisson,1720-1730,1770-1780,0.562904,0.437096,98,457,
expliquée,1700-1710,1720-1730,0.562764,0.437236,95,80,
n'arrive,1710-1720,1760-1770,0.561974,0.438026,176,517,
remercia,1720-1730,1770-1780,0.561446,0.438554,90,188,
ayeul,1760-1770,1770-1780,0.561339,0.438661,144,330,
proposent,1720-1730,1780-1789,0.561231,0.438769,103,411,
procédures,1710-1720,1789-1802,0.561086,0.438914,64,640,
economic,1780-1789,1789-1802,0.559994,0.440006,784,2046,
monumens,1740-1750,1770-1780,0.559827,0.440173,459,1589,
vrage,1710-1720,1770-1780,0.559727,0.440273,80,492,
poulets,1720-1730,1750-1760,0.559393,0.440607,58,974,
négoce,1710-1720,1789-1802,0.558348,0.441652,266,284,
blanchir,1720-1730,1740-1750,0.557913,0.442087,86,87,
xxxvi,1740-1750,1770-1780,0.557862,0.442138,169,378,
démontrer,1710-1720,1720-1730,0.557831,0.442169,145,171,
