word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
destins,1770-1780,1780-1789,0.534947,0.465053,459,577,,0.010545,0.989455,,
cuisse,1700-1710,1750-1760,0.534773,0.465227,52,90,,0.039503,0.960497,,
courts,1720-1730,1730-1740,0.534724,0.465276,204,166,,,,,
d'amitié,1740-1750,1789-1802,0.534421,0.465579,659,782,,,,,
d'épouser,1740-1750,1760-1770,0.534414,0.465586,94,151,,,,,
renoncé,1700-1710,1710-1720,0.534107,0.465893,188,119,,,,,
savons,1770-1780,1789-1802,0.534009,0.465991,651,1058,,,,,
quittent,1710-1720,1730-1740,0.533885,0.466115,129,121,,0.012467,0.987533,,
n'osa,1720-1730,1770-1780,0.533684,0.466316,66,174,,,,,
cabaret,1720-1730,1750-1760,0.532987,0.467013,126,147,,,,,
s'appelloit,1730-1740,1740-1750,0.532588,0.467412,310,203,,,,,
coulent,1750-1760,1760-1770,0.531108,0.468892,183,356,,0.015766,0.984234,,
s'attendre,1710-1720,1780-1789,0.531086,0.468914,102,699,,,,,
effrayé,1700-1710,1750-1760,0.530833,0.469167,98,260,,0.0084,0.9916,,
scélérat,1700-1710,1740-1750,0.530832,0.469168,61,178,,0.026114,0.973886,,
suffira,1700-1710,1720-1730,0.530479,0.469521,96,115,,0.018326,0.981674,,
vivons,1760-1770,1780-1789,0.530016,0.469984,324,404,,,,,
enfermé,1710-1720,1720-1730,0.529737,0.470263,178,201,,,,,
docteurs,1740-1750,1789-1802,0.529735,0.470265,243,399,,,,,
gagna,1730-1740,1740-1750,0.529729,0.470271,330,284,,0.014676,0.985324,,
poflible,1710-1720,1720-1730,0.529669,0.470331,78,82,,0.020777,0.979223,,
egard,1710-1720,1720-1730,0.529637,0.470363,147,99,,,,,
monumens,1740-1750,1789-1802,0.528271,0.471729,459,1225,,0.03123,0.96877,,
verras,1720-1730,1750-1760,0.528153,0.471847,65,129,,,,,
compagnes,1720-1730,1740-1750,0.527294,0.472706,103,162,,,,,
cherchons,1700-1710,1780-1789,0.526959,0.473041,113,598,,,,,
enfermée,1740-1750,1750-1760,0.526458,0.473542,97,102,,,,,
d'adresse,1700-1710,1720-1730,0.526355,0.473645,100,103,,,,,
envoyées,1710-1720,1770-1780,0.526265,0.473735,121,465,,0.022638,0.977362,,
d'aucun,1740-1750,1750-1760,0.526021,0.473979,727,780,,,,,
pensoit,1700-1710,1710-1720,0.52585,0.47415,173,110,,0.018732,0.981268,,
merveilleuse,1730-1740,1740-1750,0.525785,0.474215,110,174,,,,,
commentateurs,1700-1710,1789-1802,0.525712,0.474288,228,135,,,,,
affliction,1710-1720,1720-1730,0.525183,0.474817,68,53,,,,,
fignifier,1730-1740,1789-1802,0.524503,0.475497,213,92,,,,,
huissiers,1730-1740,1789-1802,0.523385,0.476615,291,319,,,,,
laver,1710-1720,1750-1760,0.523249,0.476751,271,342,,,,,
princesses,1700-1710,1730-1740,0.522453,0.477547,184,128,,,,,
intestins,1710-1720,1730-1740,0.52193,0.47807,50,59,,,,,
inconvenient,1760-1770,1780-1789,0.521784,0.478216,66,196,,,,,
proposent,1700-1710,1740-1750,0.521754,0.478246,69,141,,0.016273,0.983727,,
craignit,1710-1720,1720-1730,0.521697,0.478303,83,98,,0.027669,0.972331,,
s'arrêta,1710-1720,1730-1740,0.521654,0.478346,60,205,,,,,
enfoncé,1710-1720,1720-1730,0.521652,0.478348,60,74,,,,,
procuré,1700-1710,1720-1730,0.521608,0.478392,67,124,,0.01176,0.98824,,
edits,1710-1720,1789-1802,0.520289,0.479711,1292,347,,,,,
suffisoit,1700-1710,1750-1760,0.520253,0.479747,83,339,,0.025926,0.974074,,
l'ennemi,1720-1730,1789-1802,0.520082,0.479918,1819,4784,,,,,
affligé,1720-1730,1730-1740,0.51942,0.48058,127,289,,,,,
rendait,1720-1730,1740-1750,0.519236,0.480764,65,52,,0.024328,0.975672,,
l'obligea,1700-1710,1710-1720,0.519209,0.480791,93,83,,,,,
emportement,1720-1730,1760-1770,0.519133,0.480867,68,198,,,,,
catilina,1730-1740,1740-1750,0.519009,0.480991,424,1067,,,,,
entrerent,1710-1720,1789-1802,0.518974,0.481026,51,96,,,,,
remercie,1700-1710,1770-1780,0.5188,0.4812,103,370,,,,,
trouvât,1730-1740,1760-1770,0.518625,0.481375,217,301,,0.058878,0.941122,,
jugeons,1710-1720,1750-1760,0.518556,0.481444,50,196,,,,,
reines,1730-1740,1780-1789,0.518407,0.481593,186,272,,,,,
commencèrent,1720-1730,1740-1750,0.518228,0.481772,68,116,,0.017929,0.982071,,
achetée,1730-1740,1750-1760,0.517796,0.482204,66,146,,0.009538,0.990462,,
peintres,1760-1770,1770-1780,0.517766,0.482234,966,1234,,,,,
témoigna,1720-1730,1740-1750,0.517614,0.482386,151,424,,,,,
lignifie,1700-1710,1789-1802,0.517609,0.482391,109,78,,,,,
retourné,1740-1750,1760-1770,0.51755,0.48245,236,197,,,,,
tiendroit,1700-1710,1720-1730,0.517412,0.482588,51,105,,0.010523,0.989477,,
couroit,1700-1710,1750-1760,0.516907,0.483093,106,175,,0.026811,0.973189,,
profitent,1710-1720,1730-1740,0.516842,0.483158,88,79,,,,,
descendu,1700-1710,1730-1740,0.516826,0.483174,128,214,,,,,
négoce,1710-1720,1789-1802,0.516454,0.483546,266,284,,0.014482,0.985518,,
suivirent,1700-1710,1770-1780,0.516244,0.483756,82,437,,0.031339,0.968661,,
l'ancre,1760-1770,1780-1789,0.515652,0.484348,641,522,,,,,
demeuré,1730-1740,1750-1760,0.515377,0.484623,480,436,,,,,
songea,1720-1730,1750-1760,0.51534,0.48466,162,219,,,,,
d'avril,1770-1780,1789-1802,0.514432,0.485568,1231,914,,,,,
colere,1710-1720,1760-1770,0.51435,0.48565,909,1168,,,,,
remercia,1700-1710,1750-1760,0.513105,0.486895,101,118,,,,,
n'ignoroit,1700-1710,1710-1720,0.512874,0.487126,50,50,,,,,
viendront,1720-1730,1740-1750,0.512194,0.487806,214,273,,,,,
lieutenants,1730-1740,1740-1750,0.511528,0.488472,128,50,,,,,
d'iceux,1710-1720,1789-1802,0.511461,0.488539,845,154,,,,,
mouchoir,1700-1710,1730-1740,0.510436,0.489564,63,60,,,,,
persuadée,1720-1730,1740-1750,0.510316,0.489684,66,318,,,,,
ecriture,1730-1740,1789-1802,0.509765,0.490235,134,122,,,,,
surprenante,1700-1710,1750-1760,0.509719,0.490281,102,177,,,,,
