period,genre_brut,macro_genre,filename,title,author,n_words,output_path
1720-1730,Poésie,Poésie,modern_t03040.71.tei,,Voltaire (1694-1778),3609,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Poésie/modern_t03040.71.txt
1720-1730,Théâtre,Théâtre,modern_t05010.91.tei,,Voltaire (1694-1778),17426,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_t05010.91.txt
1720-1730,,GENRE_VIDE,modern_tgb_5426037.tei,,Claude-François Lizarde de Radonvilliers (1709-1789),529,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5426037.txt
1720-1730,,GENRE_VIDE,modern_tgb_5426059.tei,,author_10447,347,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5426059.txt
1720-1730,,GENRE_VIDE,modern_tgb_5447797.tei,,"Fournaux, Abbé de",833,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5447797.txt
1720-1730,,GENRE_VIDE,modern_tgb_5447833.tei,,Alexandre Tanevot (1691-1773),2575,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5447833.txt
1720-1730,,GENRE_VIDE,modern_tgb_5448986.tei,,author_10409,1769,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5448986.txt
1720-1730,Belles-Lettres,Belles-Lettres,modern_tgb_5451129.tei,,"Du Cerceau, Jean-Antoine (1670-1730)",20173,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Belles-Lettres/modern_tgb_5451129.txt
1720-1730,,GENRE_VIDE,modern_tgb_5456147.tei,,author_10437,343,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5456147.txt
1720-1730,,GENRE_VIDE,modern_tgb_5475407.tei,,author_10434,1142,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5475407.txt
1720-1730,,GENRE_VIDE,modern_tgb_5530927.tei,,author_10445,1029,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5530927.txt
1720-1730,Jurisprudence,Jurisprudence,modern_tgb_5544469.tei,,author_10439,15821,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Jurisprudence/modern_tgb_5544469.txt
1720-1730,not_known,GENRE_VIDE,modern_tgb_5684306.tei,,author_10430,1857,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_5684306.txt
1720-1730,Romans,Romans,modern_tgb_5688368.tei,,Jonathan Swift (1667-1745),39956,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Romans/modern_tgb_5688368.txt
1720-1730,Économie,Économie,modern_tgb_5721820.tei,,Joseph Addison (1672-1719),67309,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Économie/modern_tgb_5721820.txt
1720-1730,Histoire,Histoire,modern_tgb_5818599.tei,,Jean-Antoine de Barras de La Penne (1650-1730),9145,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Histoire/modern_tgb_5818599.txt
1720-1730,,GENRE_VIDE,modern_tgb_6101779.tei,,"Fremy, Gabriel-Edme (16..-17.. ; abbé)",4026,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6101779.txt
1720-1730,Histoire,Histoire,modern_tgb_6204233.tei,,Michel Félibien (1665-1719),619279,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Histoire/modern_tgb_6204233.txt
1720-1730,,GENRE_VIDE,modern_tgb_6204334.tei,,Michel Félibien (1665-1719),599890,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6204334.txt
1720-1730,,GENRE_VIDE,modern_tgb_6205779.tei,,Michel Félibien (1665-1719),531727,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6205779.txt
1720-1730,Belles-Lettres,Belles-Lettres,modern_tgb_6279494.tei,,author_10444,55924,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Belles-Lettres/modern_tgb_6279494.txt
1720-1730,Histoire,Histoire,modern_tgb_6316096.tei,,"Haitze, Pierre-Joseph de (1648?-1736)",9650,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Histoire/modern_tgb_6316096.txt
1720-1730,,GENRE_VIDE,modern_tgb_6328212.tei,,Jonathan Swift (1667-1745),8808,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6328212.txt
1720-1730,Traductions grecques et latines,Traductions grecques et latines,modern_tgb_6333037.tei,,Platon (0427?-0348? av. J.-C.),119527,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Traductions grecques et latines/modern_tgb_6333037.txt
1720-1730,Belles-Lettres,Belles-Lettres,modern_tgb_6460129.tei,,Joseph Addison (1672-1719),106086,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Belles-Lettres/modern_tgb_6460129.txt
1720-1730,,GENRE_VIDE,modern_tgb_6470844.tei,,Fleury (de Toulon),1237,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6470844.txt
1720-1730,,GENRE_VIDE,modern_tgb_6473386.tei,,author_10443,1551,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/GENRE_VIDE/modern_tgb_6473386.txt
1720-1730,Jurisprudence,Jurisprudence,modern_tgb_6525857.tei,,author_10416,122907,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Jurisprudence/modern_tgb_6525857.txt
1720-1730,Belles-Lettres,Belles-Lettres,modern_tgb_6530078.tei,,"Prévost, Antoine François (1697-1763)",97390,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Belles-Lettres/modern_tgb_6530078.txt
1720-1730,Jurisprudence,Jurisprudence,modern_tgb_6530442.tei,,author_10408,90011,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Jurisprudence/modern_tgb_6530442.txt
