word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
justice,1710-1720,1789-1802,3799,15846,5716,0.0844,0.6108,0.5927
conformément,1730-1740,1789-1802,1186,2043,5708,0.0843,0.5576,0.7622
espèce,1710-1720,1720-1730,1006,990,5711,0.0842,0.2676,0.6247
domination,1700-1710,1770-1780,268,1859,5689,0.0841,0.5305,0.5863
conduite,1710-1720,1770-1780,2994,10977,5716,0.084,0.1812,0.3636
vaisseau,1710-1720,1720-1730,1857,1415,5708,0.0839,0.5306,0.3588
attirer,1700-1710,1730-1740,255,538,5710,0.0836,0.4436,0.1695
poursuites,1710-1720,1780-1789,231,600,5673,0.0836,0.6909,0.7407
observations,1720-1730,1740-1750,830,2828,5719,0.0831,0.1948,0.317
once,1720-1730,1760-1770,361,2189,5681,0.0827,0.9363,0.8426
instances,1720-1730,1789-1802,144,759,5671,0.0825,0.4941,0.4525
préjudice,1710-1720,1789-1802,1704,1392,5693,0.0824,0.8428,0.7295
peines,1710-1720,1770-1780,2099,4530,5711,0.0823,0.9399,0.8965
attaquer,1710-1720,1789-1802,273,1819,5708,0.0822,0.0869,0.0578
couverts,1700-1710,1770-1780,257,1471,5702,0.0821,0.5854,0.6234
matiere,1710-1720,1760-1770,1964,6820,5692,0.0819,0.7877,0.8118
trouble,1710-1720,1789-1802,859,3006,5713,0.0819,0.338,0.1016
punis,1700-1710,1770-1780,147,897,5695,0.0818,0.5779,0.5164
engager,1700-1710,1730-1740,337,865,5707,0.0817,0.6185,0.5004
province,1710-1720,1730-1740,1896,5865,5713,0.0816,0.4741,0.6055
puissance,1700-1710,1780-1789,1233,8289,5712,0.0814,0.4496,0.4801
mesures,1710-1720,1789-1802,1154,6584,5695,0.0813,0.5787,0.6231
bientôt,1710-1720,1730-1740,1639,4002,5716,0.081,0.1766,0.0564
objections,1710-1720,1789-1802,210,870,5699,0.0809,0.8177,0.3565
maintenir,1710-1720,1789-1802,804,3882,5691,0.0808,0.6427,0.4964
moyens,1710-1720,1760-1770,2126,10689,5717,0.0808,0.5268,0.5441
négocians,1710-1720,1789-1802,811,2398,5661,0.0807,0.7896,0.7062
conseil,1710-1720,1789-1802,8532,15331,5717,0.0805,0.7748,0.9105
soupçons,1700-1710,1789-1802,214,1136,5693,0.0803,0.7443,0.3399
pauvres,1720-1730,1750-1760,2519,3165,5714,0.0802,0.7659,0.6042
grâce,1720-1730,1760-1770,1219,1862,5705,0.0801,0.8621,0.8444
peine,1710-1720,1789-1802,11440,20779,5717,0.08,0.9916,0.9851
impression,1700-1710,1780-1789,275,1105,5713,0.0797,0.2589,0.7565
victoires,1710-1720,1730-1740,177,556,5677,0.0796,0.7244,0.3371
fonctions,1710-1720,1789-1802,664,4146,5697,0.0795,0.5398,0.5628
réussir,1700-1710,1780-1789,255,1251,5701,0.0794,0.3014,0.3735
joli,1700-1710,1780-1789,152,1218,5684,0.079,0.0886,0.3328
réflexions,1700-1710,1789-1802,425,4311,5714,0.0787,0.4837,0.6202
profit,1710-1720,1789-1802,2953,5101,5710,0.0786,0.7417,0.8367
ordonné,1710-1720,1789-1802,3553,2825,5705,0.0785,0.8815,0.8805
valets,1720-1730,1789-1802,369,875,5687,0.0783,0.765,0.551
prévenir,1700-1710,1789-1802,426,4610,5709,0.0782,0.2642,0.4961
superbes,1720-1730,1789-1802,154,835,5684,0.0781,0.3931,0.3524
prisonnier,1710-1720,1750-1760,326,792,5691,0.078,0.1496,0.0605
délicate,1720-1730,1780-1789,243,1152,5695,0.0776,0.2474,0.0784
voici,1700-1710,1770-1780,2564,10544,5716,0.0775,0.0534,0.1067
diminué,1720-1730,1760-1770,226,1158,5676,0.0773,0.415,0.3609
