word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
observe,1740-1750,1770-1780,1449,2359,5712,0.6613,0.1181,0.2058
autant,1710-1720,1740-1750,5275,8836,5717,0.6598,0.4107,0.4808
portera,1720-1730,1730-1740,129,188,5683,0.6586,0.0277,0.0706
patentes,1780-1789,1789-1802,3466,1512,5675,0.6585,0.9288,0.9212
répondre,1700-1710,1710-1720,1037,1350,5713,0.6579,0.3271,0.3262
sage,1740-1750,1750-1760,2910,4323,5717,0.6573,0.0192,0.0153
réponds,1750-1760,1760-1770,521,788,5689,0.6558,0.345,0.0902
croiroit,1700-1710,1710-1720,77,131,5685,0.6519,0.5991,0.2113
parvenu,1760-1770,1770-1780,1418,2026,5706,0.6516,0.5663,0.754
étudier,1720-1730,1740-1750,149,172,5700,0.6505,0.0596,0.034
assembler,1750-1760,1780-1789,131,407,5677,0.6503,0.2135,0.2793
pleine,1710-1720,1750-1760,1672,2019,5711,0.6495,0.4228,0.3776
savoir,1700-1710,1770-1780,3023,11650,5717,0.6494,0.2877,0.3175
admiration,1750-1760,1770-1780,519,834,5710,0.6487,0.2787,0.0169
médecins,1710-1720,1750-1760,234,801,5691,0.6486,0.4271,0.2634
césar,1730-1740,1780-1789,506,4745,5681,0.6478,0.5505,0.7367
vive,1700-1710,1789-1802,869,4966,5714,0.6477,0.52,0.5909
pitié,1710-1720,1720-1730,788,640,5708,0.647,0.6117,0.2807
crainte,1740-1750,1750-1760,4839,4750,5713,0.6447,0.7031,0.1128
introduit,1700-1710,1760-1770,279,1053,5699,0.6438,0.0966,0.1412
commandement,1710-1720,1789-1802,707,1995,5694,0.6431,0.5318,0.5539
céfar,1710-1720,1720-1730,107,624,5574,0.6429,0.3963,0.9404
charger,1710-1720,1789-1802,887,2251,5705,0.6419,0.2696,0.5242
barbare,1740-1750,1770-1780,964,2773,5705,0.6418,0.0673,0.0039
bonnet,1750-1760,1760-1770,382,551,5686,0.6414,0.3049,0.4998
produire,1700-1710,1710-1720,909,826,5713,0.6397,0.2006,0.273
infâme,1710-1720,1720-1730,112,68,5678,0.6396,0.7545,0.2478
appeller,1730-1740,1740-1750,621,879,5702,0.6378,0.6566,0.0601
mande,1710-1720,1730-1740,265,500,5687,0.6369,0.5357,0.4287
domestiques,1750-1760,1780-1789,1272,2133,5700,0.6359,0.0562,0.0647
comptes,1720-1730,1730-1740,2734,1039,5695,0.6351,0.9143,0.897
contribué,1760-1770,1789-1802,671,1385,5697,0.635,0.8928,0.6976
amiral,1760-1770,1789-1802,524,519,5697,0.6337,0.7898,0.7707
offrir,1710-1720,1789-1802,339,2894,5711,0.6331,0.1871,0.4817
déclaré,1700-1710,1789-1802,458,2581,5702,0.6327,0.4016,0.3607
remettre,1700-1710,1710-1720,1202,1158,5706,0.6319,0.1773,0.1272
battre,1700-1710,1770-1780,504,2149,5701,0.6313,0.1126,0.1254
cardinal,1750-1760,1760-1770,4316,1853,5695,0.6305,0.1446,0.1629
marche,1770-1780,1789-1802,6652,8364,5716,0.6298,0.0862,0.0222
consuls,1730-1740,1760-1770,284,1763,5677,0.6293,0.7473,0.6446
pairs,1710-1720,1789-1802,837,1653,5660,0.629,0.9031,0.8454
xiii,1710-1720,1730-1740,933,1677,5711,0.6285,0.6964,0.9331
tiré,1710-1720,1750-1760,1229,1917,5715,0.6278,0.228,0.2576
recueillir,1700-1710,1780-1789,169,1615,5695,0.6273,0.1458,0.1405
mets,1720-1730,1760-1770,545,1066,5708,0.6262,0.1393,0.1839
vieille,1760-1770,1770-1780,1549,2942,5704,0.6259,0.3774,0.5092
paroître,1760-1770,1789-1802,2251,2172,5703,0.6258,0.6382,0.0496
confondre,1720-1730,1789-1802,344,1513,5701,0.6253,0.2569,0.2889
effet,1700-1710,1720-1730,3911,5327,5718,0.6243,0.0461,0.4968
catholique,1710-1720,1730-1740,574,1560,5682,0.6222,0.6792,0.3894
pommes,1770-1780,1789-1802,1424,1607,5667,0.6217,0.8338,0.6412
prison,1710-1720,1720-1730,1004,894,5710,0.621,0.4033,0.355
curé,1730-1740,1750-1760,828,1359,5679,0.6197,0.094,0.0663
sucre,1720-1730,1760-1770,1070,3736,5669,0.6195,0.6203,0.8339
voisins,1720-1730,1740-1750,1136,2154,5709,0.6184,0.3732,0.4493
renvoyé,1700-1710,1710-1720,234,310,5687,0.6181,0.0724,0.2085
conduire,1710-1720,1789-1802,1438,4780,5712,0.6181,0.2095,0.244
pareils,1700-1710,1720-1730,282,572,5706,0.6172,0.3232,0.2375
vouloir,1730-1740,1760-1770,2867,4760,5714,0.6169,0.3138,0.3552
christ,1700-1710,1770-1780,3332,2462,5693,0.6164,0.554,0.6629
author,1780-1789,1789-1802,2363,3744,3213,0.6154,0.8826,0.8629
zèle,1730-1740,1780-1789,1140,3229,5694,0.6151,0.4656,0.1089
