word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
prétendez,1700-1710,1740-1750,58,151,,0.1238,0.8544,
n'eus,1700-1710,1720-1730,85,104,,0.1231,,
sentoit,1710-1720,1720-1730,119,178,,0.1227,0.8442,
laissoient,1710-1720,1730-1740,117,245,,0.1224,0.9414,
s'imaginent,1700-1710,1740-1750,127,143,,0.122,,
charmée,1700-1710,1710-1720,68,69,,0.1211,0.4215,
greffiers,1760-1770,1770-1780,461,369,,0.1209,0.7169,
jeudi,1730-1740,1789-1802,107,889,,0.1208,0.9425,
pouvais,1700-1710,1750-1760,61,77,,0.1202,0.7483,
c'el,1720-1730,1750-1760,300,340,,0.1198,,
goldsmithsâ,1700-1710,1789-1802,68,1681,,0.1185,,
poires,1760-1770,1780-1789,253,284,,0.1178,,
fîmes,1710-1720,1789-1802,96,314,,0.1177,,
s'est,1720-1730,1730-1740,3318,4764,,0.1166,,
n'eut,1710-1720,1740-1750,779,1800,,0.1161,,
devront,1720-1730,1740-1750,77,137,,0.1143,0.5199,
prétendoient,1700-1710,1720-1730,61,147,,0.1136,0.7565,
allions,1700-1710,1730-1740,72,153,,0.1136,,
pourrais,1700-1710,1750-1760,89,134,,0.1132,,
l'avois,1710-1720,1720-1730,118,142,,0.1124,,
junon,1710-1720,1789-1802,804,192,,0.1122,,
faudrait,1710-1720,1740-1750,118,132,,0.1107,0.6458,
connaissez,1730-1740,1760-1770,171,262,,0.11,0.2635,
rives,1740-1750,1789-1802,342,701,,0.1087,0.8947,
n'étois,1700-1710,1710-1720,70,78,,0.1084,,
saurait,1720-1730,1770-1780,94,366,,0.1078,,
pourvoient,1700-1710,1730-1740,50,75,,0.1057,,
eûmes,1710-1720,1730-1740,103,138,,0.1051,,
prenoient,1700-1710,1740-1750,159,450,,0.1047,0.7819,
n'étant,1700-1710,1750-1760,641,1351,,0.1045,,
trouveroient,1700-1710,1720-1730,91,212,,0.1044,0.8698,
j'eusse,1720-1730,1789-1802,145,727,,0.1044,,
puifle,1750-1760,1780-1789,162,338,,0.104,,
s'être,1710-1720,1780-1789,503,2586,,0.1005,,
l'auroit,1700-1710,1720-1730,173,272,,0.1002,,
voulais,1750-1760,1760-1770,92,148,,0.0999,,
j'aurais,1700-1710,1750-1760,104,195,,0.0986,,
s'étaient,1730-1740,1740-1750,80,62,,0.0982,,
puissiez,1700-1710,1730-1740,105,229,,0.0978,,
puisent,1750-1760,1789-1802,152,180,,0.0958,,
voulût,1710-1720,1750-1760,261,376,,0.0949,,
feriez,1730-1740,1760-1770,327,611,,0.0948,0.597,
l'ai,1700-1710,1760-1770,1292,5022,,0.0928,,
j'avais,1700-1710,1750-1760,268,333,,0.0928,,
pouvaient,1730-1740,1740-1750,160,110,,0.0925,,
voudriez,1720-1730,1730-1740,65,216,,0.091,0.8783,
êrre,1710-1720,1730-1740,79,117,,0.09,,
pouviez,1700-1710,1720-1730,89,71,,0.0898,,
devriez,1730-1740,1780-1789,92,247,,0.0895,0.5233,
vouliez,1720-1730,1750-1760,101,232,,0.0882,,
deviez,1710-1720,1750-1760,96,185,,0.0872,,
devaient,1700-1710,1730-1740,50,86,,0.0869,0.775,
l'eût,1700-1710,1710-1720,246,216,,0.0868,,
voulions,1750-1760,1789-1802,129,234,,0.0858,,
seigle,1730-1740,1760-1770,155,1145,,0.0854,0.9877,
fissent,1710-1720,1740-1750,123,172,,0.085,,
m'avoit,1710-1720,1720-1730,219,423,,0.0843,,
n'cft,1710-1720,1740-1750,237,171,,0.0832,,
suissent,1700-1710,1750-1760,90,221,,0.083,,
vîmes,1750-1760,1770-1780,106,194,,0.0806,,
eussiez,1730-1740,1760-1770,122,196,,0.0805,,
n'ayant,1700-1710,1730-1740,866,1771,,0.0794,,
n'avais,1700-1710,1760-1770,72,150,,0.0793,,
t'ai,1700-1710,1720-1730,274,146,,0.0783,,
faisaient,1700-1710,1740-1750,138,101,,0.077,0.7287,
j'étais,1700-1710,1750-1760,232,305,,0.0749,,
devions,1700-1710,1780-1789,86,394,,0.0741,,
d'octobre,1710-1720,1770-1780,398,532,,0.0736,,
n'auroit,1700-1710,1720-1730,685,1081,,0.0717,,
serions,1710-1720,1740-1750,80,120,,0.0703,,
n'aurois,1700-1710,1710-1720,134,160,,0.0702,,
seraient,1730-1740,1740-1750,159,117,,0.0702,,
pourrons,1700-1710,1710-1720,139,119,,0.0697,,
j'aurois,1700-1710,1710-1720,414,457,,0.0671,,
