word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
comite,1710-1720,1730-1740,55,219,,0.9724,0.9265,
hormis,1720-1730,1770-1780,77,172,,0.9723,,
restez,1700-1710,1750-1760,54,61,,0.9721,0.9709,
rufien,1700-1710,1760-1770,167,123,,0.9719,,
patte,1700-1710,1710-1720,347,71,,0.9718,,
thé,1700-1710,1750-1760,91,1180,,0.9717,0.9838,
lour,1710-1720,1789-1802,118,408,,0.9717,,
nement,1700-1710,1780-1789,86,1077,,0.9716,0.5634,
foy,1700-1710,1760-1770,2300,183,,0.9714,,
l'approbation,1710-1720,1720-1730,126,169,,0.9713,,
grammont,1710-1720,1720-1730,274,139,,0.9713,,
fere,1730-1740,1740-1750,210,709,,0.9712,0.57,
aufll,1720-1730,1730-1740,120,115,,0.9711,,
trefle,1730-1740,1780-1789,66,469,,0.971,0.9113,
quotient,1710-1720,1730-1740,218,54,,0.971,,
ruelle,1700-1710,1760-1770,71,312,,0.9709,0.1992,
devin,1700-1710,1770-1780,68,361,,0.9706,0.339,
qu'est,1700-1710,1740-1750,696,1239,,0.9705,,
prémier,1700-1710,1789-1802,276,64,,0.9704,,
remontrer,1720-1730,1789-1802,97,86,,0.9703,,
traitez,1700-1710,1789-1802,321,156,,0.9701,,
raisonnablement,1770-1780,1789-1802,372,345,,0.97,0.2228,
noyer,1710-1720,1720-1730,116,415,,0.9697,0.9724,
modéré,1720-1730,1780-1789,70,778,,0.9696,0.284,
déposition,1710-1720,1780-1789,64,383,,0.9695,0.6557,
multiplication,1730-1740,1770-1780,83,865,,0.9695,,
youtre,1700-1710,1730-1740,84,71,,0.9694,0.022,
ifle,1710-1720,1730-1740,136,276,,0.9693,,
lad,1720-1730,1789-1802,353,213,,0.9691,,
parquet,1740-1750,1750-1760,112,341,,0.969,0.7395,
l'entretenir,1710-1720,1720-1730,87,91,,0.9689,,
l'ou,1700-1710,1750-1760,74,545,,0.9688,,
contredits,1710-1720,1789-1802,499,63,,0.9684,,
gie,1730-1740,1770-1780,110,247,,0.9683,0.1568,
tere,1710-1720,1780-1789,138,582,,0.9682,0.566,
d'abord,1710-1720,1750-1760,3288,7387,,0.9681,,
ainii,1700-1710,1730-1740,104,110,,0.9681,0.4949,
étroitement,1750-1760,1789-1802,306,400,,0.968,0.2027,
cointe,1710-1720,1730-1740,75,77,,0.9679,0.1155,
l'excès,1760-1770,1770-1780,1421,2061,,0.9676,,
peller,1710-1720,1789-1802,57,108,,0.9674,0.6626,
peril,1700-1710,1770-1780,203,77,,0.9673,,
d'ex,1710-1720,1720-1730,65,83,,0.9671,,
auii,1710-1720,1740-1750,74,148,,0.967,0.3755,
xil,1710-1720,1730-1740,65,110,,0.9669,0.3582,
qu'a,1700-1710,1730-1740,777,1269,,0.9667,,
fies,1700-1710,1770-1780,146,318,,0.9667,,
aucunement,1730-1740,1750-1760,169,242,,0.9664,0.3119,
appeliez,1710-1720,1770-1780,225,109,,0.9664,,
seur,1700-1710,1789-1802,91,257,,0.9663,,
opposez,1700-1710,1760-1770,116,74,,0.9662,,
l'excellence,1740-1750,1750-1760,196,269,,0.9661,,
touchez,1700-1710,1760-1770,100,59,,0.966,,
fonts,1780-1789,1789-1802,253,59,,0.966,,
future,1730-1740,1770-1780,213,658,,0.9659,0.0898,
quela,1700-1710,1750-1760,101,147,,0.9658,,
traitant,1700-1710,1720-1730,109,138,,0.9657,0.0651,
d'effet,1740-1750,1750-1760,155,216,,0.9656,,
menez,1700-1710,1760-1770,81,56,,0.9655,0.7967,
eve,1730-1740,1760-1770,84,274,,0.9653,,
