word,drift_1789
general,0.5980
foibles,0.5980
châteaux,0.5978
militaire,0.5978
more,0.5978
charme,0.5978
logis,0.5978
vail,0.5978
rupture,0.5977
tendoit,0.5977
inconveniens,0.5977
verser,0.5976
l'étude,0.5976
mainte,0.5976
nuits,0.5974
qu'avoit,0.5973
l'union,0.5972
successions,0.5972
prévaloir,0.5971
sin,0.5971
este,0.5970
communication,0.5970
produire,0.5969
fè,0.5968
prose,0.5968
contenu,0.5968
d'attaquer,0.5966
marcel,0.5966
accompli,0.5965
sensibles,0.5965
rechercher,0.5964
payen,0.5964
trancher,0.5963
titube,0.5962
masse,0.5962
interest,0.5961
ecclésiastique,0.5960
collier,0.5960
nuage,0.5959
galeres,0.5959
una,0.5957
gaules,0.5957
sé,0.5956
tournent,0.5956
joint,0.5956
purgatoire,0.5955
louanges,0.5955
pan,0.5955
ration,0.5954
secrette,0.5953
souveraineté,0.5953
veri,0.5952
seur,0.5952
qus,0.5951
qu'clle,0.5951
etats,0.5950
passons,0.5949
exercices,0.5949
paraît,0.5948
augmenta,0.5948
sages,0.5948
iss,0.5947
qu'eux,0.5947
d'italie,0.5947
jour,0.5946
irlande,0.5945
ports,0.5945
jurer,0.5945
mage,0.5943
louvre,0.5943
engagemens,0.5943
moy,0.5941
quittances,0.5940
vé,0.5939
fies,0.5939
triomphe,0.5937
erreur,0.5937
gouverner,0.5937
positivement,0.5935
chancellerie,0.5935
incomparable,0.5932
pals,0.5931
espace,0.5930
danse,0.5930
coups,0.5930
jusqu'en,0.5930
riez,0.5930
lingots,0.5929
armer,0.5928
titre,0.5927
bornée,0.5925
peints,0.5925
l'avertir,0.5924
caché,0.5923
lauriers,0.5923
séance,0.5922
necessaire,0.5922
marché,0.5922
vire,0.5921
tant,0.5921
besoin,0.5921
reur,0.5920
jouer,0.5920
pére,0.5920
convoi,0.5920
imitation,0.5919
apostolique,0.5919
confidence,0.5919
tirant,0.5919
mel,0.5917
occuper,0.5917
nation,0.5916
entretien,0.5916
rotterdam,0.5915
saturne,0.5915
fameux,0.5913
théâtre,0.5912
lard,0.5911
l'autre,0.5911
trompettes,0.5911
icelui,0.5910
couronnée,0.5910
fâcheuse,0.5909
gâter,0.5908
susceptible,0.5908
l'attendre,0.5908
cueillir,0.5908
bulle,0.5907
particu,0.5907
authentique,0.5906
reserve,0.5906
audacieux,0.5906
compagnon,0.5906
noblesse,0.5905
motif,0.5904
étroit,0.5904
secondement,0.5904
suffisante,0.5904
contre,0.5903
cç,0.5901
membres,0.5901
dela,0.5901
defaut,0.5901
durent,0.5900
sauvages,0.5900
opposa,0.5900
neige,0.5900
posterité,0.5899
gner,0.5899
sérieuse,0.5898
regardé,0.5898
établies,0.5897
zèle,0.5897
balles,0.5896
vraie,0.5895
traverser,0.5895
act,0.5894
d'anvers,0.5892
propre,0.5892
meilleur,0.5892
nan,0.5891
executer,0.5890
adi,0.5890
dion,0.5890
enceinte,0.5890
prenons,0.5890
dépendent,0.5889
lentement,0.5889
reaux,0.5889
