word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802
cicéron,0.0007,0.0014,0.0019,0.0019,0.0016,0.0017,0.0028,0.0028,0.0024
cid,0.0057,0.0056,0.0223,0.0138,0.0277,0.0200,0.0123,0.0078,0.0085
cie,0.0051,0.0071,0.0070,0.0068,0.0073,0.0082,0.0078,0.0121,0.0103
ciel,0.0015,0.0017,0.0021,0.0020,0.0020,0.0021,0.0022,0.0026,0.0020
ciens,0.0072,0.0050,0.0052,0.0067,0.0069,0.0049,0.0072,0.0070,0.0052
cier,0.0109,0.0109,0.0119,0.0151,0.0155,0.0203,0.0138,0.0151,0.0136
ciers,0.0095,0.0082,0.0090,0.0092,0.0057,0.0074,0.0074,0.0087,0.0066
cieux,0.0023,0.0020,0.0026,0.0023,0.0024,0.0032,0.0032,0.0033,0.0028
cii,0.0043,0.0041,0.0041,0.0045,0.0036,0.0041,0.0045,0.0071,0.0056
cil,0.0035,0.0027,0.0036,0.0035,0.0032,0.0040,0.0044,0.0052,0.0043
cile,0.0087,0.0163,0.0169,0.0153,0.0098,0.0092,0.0083,0.0087,0.0058
ciment,0.0291,0.0165,0.0088,0.0067,0.0062,0.0138,0.0152,0.0126,0.0059
cin,0.0051,0.0047,0.0067,0.0070,0.0058,0.0071,0.0065,0.0090,0.0066
cinq,0.0024,0.0026,0.0027,0.0027,0.0031,0.0036,0.0039,0.0046,0.0042
cinquante,0.0024,0.0024,0.0031,0.0032,0.0032,0.0035,0.0039,0.0041,0.0039
cinquieme,0.0054,0.0034,0.0062,0.0071,0.0082,0.0125,0.0102,0.0087,0.0056
cinquième,0.0023,0.0026,0.0040,0.0046,0.0039,0.0043,0.0043,0.0049,0.0052
cio,0.0050,0.0057,0.0040,0.0048,0.0045,0.0053,0.0042,0.0055,0.0069
cir,0.0061,0.0063,0.0082,0.0079,0.0156,0.0120,0.0127,0.0111,0.0098
circa,0.0059,0.0154,0.0145,0.0095,0.0040,0.0036,0.0148,0.0048,0.0020
circonstance,0.0072,0.0046,0.0074,0.0072,0.0081,0.0100,0.0095,0.0087,0.0058
circonstances,0.0041,0.0038,0.0045,0.0046,0.0059,0.0066,0.0060,0.0058,0.0054
circuit,0.0041,0.0085,0.0083,0.0116,0.0037,0.0125,0.0079,0.0062,0.0049
circulation,0.0061,0.0070,0.0094,0.0064,0.0118,0.0153,0.0094,0.0084,0.0093
cire,0.0063,0.0062,0.0040,0.0043,0.0048,0.0061,0.0053,0.0049,0.0043
