mot_cible,nb_ancres,ancres
terrestres,7,"créateur, parfaites, divines, éternelles, terrestre, naturelles, spirituelles"
terreur,7,"frayeur, fureur, rage, furie, effroyable, terrible, cris"
terrible,19,"effroyable, horrible, funeste, épouvantable, furieux, cruel, cruelle, mortelle, frayeur, affreux, menace, foudre, fatal, rude, mortel, tonnerre, triste, furieuse, furie"
terribles,6,"horribles, mortelles, cruels, rudes, tristes, affreux"
terris,6,"unum, alias, tempore, locum, unde, bona"
territoire,9,"bailliage, capitale, comté, située, province, bourg, voisinage, duché, seigneurie"
terroir,11,"sertile, abondant, abonde, raisin, grain, terrain, gras, bled, humide, froment, humides"
testamens,15,"donations, notaires, contrats, clauses, sentences, déclarations, decrets, constitutions, ecclésiastiques, edits, actes, comptables, mandemens, validité, ordonnances"
testament,22,"consentement, donation, legs, oncle, héritier, gendre, mariage, ayeul, notaire, serment, défunt, inventaire, neveu, frère, père, confesseur, pere, contrat, fils, mari, testamens, manuscrit"
teste,20,"tête, épée, chemise, l'épaule, l'épée, épaules, s'avança, croupe, queue, leva, bâton, ceinture, derrière, relevant, mouchoir, chapeau, front, marchoit, poitrine, gorge"
teur,7,"disciple, auteur, vrage, orateur, apôtre, philosophe, peintre"
teurs,14,"ecrivains, peres, payens, hérétiques, ignorans, prophetes, ecrits, savans, poëtes, théologiens, ciens, citoyens, pasteurs, auteurs"
text,19,"whether, books, search, also, please, difficult, first, google, only, most, where, fonts, book, those, these, taken, other, domain, primary"
texte,9,"conjecture, manuscrits, commentaire, commentateurs, correction, traduction, manuscrit, l'original, latin"
than,8,"there, then, made, only, which, them, they, find"
that,6,"than, which, never, there, what, only"
theatre,9,"statues, antiques, latins, théâtre, poëtes, poësie, satyres, poëte, poëme"
their,9,"they, them, only, those, other, which, taken, there, then"
them,10,"only, their, those, they, find, which, then, there, whether, taken"
then,3,"only, there, right"
there,7,"than, then, only, they, those, them, what"
these,14,"google, books, search, also, domain, book, commercial, text, please, whether, most, difficult, only, those"
they,10,"their, there, them, those, then, which, only, find, than, what"
this,12,"those, which, there, that, then, than, what, taken, only, most, find, them"
thomas,11,"augustin, bernard, robert, daniel, malo, simon, jacques, martin, richard, nicolas, jean"
those,12,"only, other, them, taken, most, there, which, they, their, find, much, also"
théatre,3,"theatre, théâtre, choeurs"
théologie,3,"sorbonne, docteur, grecque"
théologiens,20,"docteurs, philosophes, protestans, auteurs, modernes, papes, dogmes, savans, prélats, ecrivains, chretiens, hérétiques, catholiques, payens, conciles, ignorans, chrétiens, ciens, patriarches, critiques"
théâtre,7,"prologue, comédie, parterre, choeurs, scène, theatre, comedie"
tiares,6,"comptables, notaires, procureurs, sergens, secretaires, syndics"
tibi,8,"quoniam, hominem, igitur, primum, mihi, aliquid, plura, multa"
tibre,6,"neptune, fleuve, temple, capitole, bords, rivage"
ticle,5,"article, reglement, examen, argument, l'article"
tien,10,"tais, oint, tiens, mien, pren, feras, prens, crain, t'en, l'eternel"
tiendra,17,"n'aura, laissera, demeurera, donnera, tient, fera, mettra, prendra, promets, lera, sera, tenoit, tienne, aura, serve, scra, baille"
tiendroit,7,"doutoit, tiendra, tint, demandoit, manqueroit, tenoit, donnât"
tiendront,5,"feront, demeureront, jurez, seront, auront"
tienne,12,"rende, serve, prenne, fasse, soit, mette, aille, croye, tiendra, tient, meure, tenir"
tiennent,17,"mettent, reçoivent, font, entrent, demeurent, portent, prennent, tirent, passent, voyent, travaillent, trouvent, iont, suivent, rencontrent, s'attachent, mêlent"
tiens,14,"tenez, rends, consens, sois, fais, connais, prends, sers, prens, écoute, morbleu, attends, feras, mets"
tient,12,"tenoit, tiendra, releve, prend, tenait, couvre, rend, tenant, éleve, donne, joue, tienne"
tiers,12,"quart, moitié, douaire, immeubles, quarts, muids, applicable, portion, demi, vingr, muid, siéme"
ties,4,"parties, natures, choies, operations"
tige,13,"tronc, branche, l'arbre, arbres, branches, l'écorce, tiges, racine, grosseur, quarrée, feuilles, arbre, racines"
tiges,11,"feuilles, queues, plumes, têtes, blanches, larges, boutons, racines, branches, aîles, pointes"
tigre,3,"rocher, rivage, fleuve"
tigres,6,"cerfs, loups, serpens, bergers, oiseaux, bêtes"
timides,3,"cruels, rudes, foibles"
timon,5,"manche, poulie, gouvernail, clou, corde"
timons,4,"villeux, chaloupes, bâtimens, vassaux"
tinrent,10,"trouverent, allerent, allèrent, trouvèrent, sortirent, virent, entrerent, prirent, crurent, mirent"
tint,23,"demeura, tenait, remit, trouva, rendit, retira, revint, quitta, manda, garda, suivit, retourna, tenoit, déclara, pressa, parla, servit, passa, porta, présenta, entra, donna, parut"
tion,5,"ation, vocation, aion, caufe, convention"
tions,5,"aions, choies, clauses, operations, conditions"
tiques,3,"colleges, orientaux, savans"
tira,29,"trouva, ouvrit, frappa, courut, porta, montra, remit, jetta, présenta, sortit, apporta, prit, leva, tomba, descendit, emporta, entra, retira, conduisit, tourna, couvrit, reçut, reconnut, rompit, appella, renvoya, mena, jeta, sentit"
tirant,12,"l'épaule, épaules, tournant, croupe, queue, mettant, l'oeil, mouchoir, doigt, chapeau, poitrine, prenant"
tire,13,"provient, prend, nomme, remet, jette, vient, achete, appelle, donne, profite, vend, tirer, employe"
tirent,14,"prennent, reçoivent, jettent, portent, s'attachent, passent, mêlent, profitent, perdent, appellent, voyent, viennent, vendent, sortent"
tirer,17,"remettre, apporter, employer, emporter, charger, placer, retirer, prévaloir, prendre, porter, appliquer, conclure, retenir, tourner, transporter, décharger, disposer"
tirera,5,"tire, mettra, prendra, donnera, trouvera"
tireur,12,"négociant, porteur, banquier, l'acheteur, change, payement, débiteur, créancier, payable, remise, billet, vendeur"
tirez,16,"passez, mettez, jettez, ôtez, mettrez, mêlez, formez, marquez, donnez, placez, prendrez, portez, examinez, donnerez, verrez, trouverez"
tiroient,6,"tirent, appelloient, ôtoient, faisoient, fissent, étoient"
tiroir,5,"saie, scra, pouir, fairc, polir"
tiroit,10,"voyoit, parloit, trouvoit, donnoit, appelloit, faisoit, prenoit, portoit, tira, demandoit"
tirons,15,"trouverons, trouvons, appellons, verrons, recevons, jugeons, savons, entendons, demandons, irons, tenons, saisions, dirons, parlerons, sentons"
tiré,19,"apporté, rapporté, suivi, jetté, rencontré, porté, emprunté, raconté, appellé, trouvé, conservé, reçu, pris, formé, fourni, retranché, oublié, sauvé, employé"
tirée,15,"payable, contenue, remise, écrite, mise, envoyée, fondée, faite, payée, donnée, jettée, exprimée, tiré, inventée, changée"
tirées,8,"mises, écrites, expliquées, données, marquées, trouvées, établies, claires"
titans,3,"habitans, corsaires, espagnols"
title,10,"author, monograph, works, document, primary, https, french, university, economics, intitulé"
titre,10,"titres, l'edit, l'ordonnance, l'article, surnom, privilege, privileges, edit, privilèges, consentement"
titres,20,"privileges, privilèges, successeurs, ecrits, extraits, noms, écrits, actes, titre, mémoires, offices, fiefs, attributs, edits, emplois, contrats, exploits, originaux, droits, registres"
titube,12,"latitude, située, septentrionale, miles, nord, détroit, riviere, isle, capitale, l'isle, colonie, l'amerique"
tité,4,"abondance, quantité, prodigieuse, abonde"
toient,8,"étoient, ôtoient, voient, s'étoient, trouverent, disoient, n'étoient, faisoient"
toile,8,"étoffe, broderie, velours, drap, laine, ceinture, linge, picce"
toiles,8,"etoffes, draps, étoffes, marchas, pipes, sucres, aunes, laine"
toise,15,"aune, quarrée, verge, l'aune, longueur, largeur, picce, quarré, demie, pouce, millier, profondeur, douzaine, lols, verges"
toises,15,"pies, piés, pouces, largeur, palmes, longueur, quarré, lieues, profondeur, pieds, quarrée, lignes, pouce, distance, large"
toison,6,"collier, louis, pierreries, rubis, broderie, velours"
toit,9,"loit, ctoit, parût, étoit, n'étoit, croyoit, trouvoit, voyoit, ibit"
tomba,24,"jetta, demeura, trouva, sentit, porta, poussa, remit, jeta, descendit, entra, parut, cacha, tira, courut, perdit, retira, frappa, emporta, mourut, monta, leva, passa, sortit, surprit"
tombant,6,"flots, tonnerre, rocher, rudement, foudre, jette"
tombe,4,"jette, tombent, pousse, tomber"
tombeau,11,"temple, diane, l'autel, sein, trône, superbe, triomphe, capitole, palais, trépas, martyre"
tombeaux,10,"temples, statues, autels, idoles, edifices, martyrs, superbes, reliques, flambeaux, morts"
tombent,17,"jettent, demeurent, passent, entrent, meurent, deviennent, perdent, sortent, font, rencontrent, trouvent, causent, mettent, poussent, s'attachent, voyent, couvrent"
tomber,16,"couler, perir, jetter, entrer, tombe, paroître, emporter, descendre, trembler, mourir, enfoncer, frapper, éclater, passer, monter, fondre"
tombera,5,"tombe, jette, tomba, mettra, tomber"
tombé,16,"entré, arrivé, sorti, descendu, retourné, retiré, venu, enfermé, devenu, demeuré, monté, absent, jettée, accablé, allé, couché"
tombée,13,"tombé, jettée, enfermée, demeurée, couchée, venue, changée, achevée, retourné, descendu, entré, sorti, passée"
tombées,3,"lorsqu'elles, coupées, arrivées"
tome,7,"chapitre, xxiii, xvii, xxii, volume, edition, chap"
tommes,11,"sommes, jugeons, voulions, ferions, saisions, aurions, recevons, serons, trouvons, serions, trouverons"
tonne,4,"pinte, pipes, muid, last"
tonneau,12,"tonneaux, pipes, muid, pintes, muids, d'olive, last, pese, pinte, millier, pesant, d'huile"
tonneaux,11,"tonneau, pipes, muids, pintes, d'olive, sucres, fret, muid, millier, last, pots"
tonnerre,15,"foudre, neptune, flots, foudres, retentir, cris, nuage, ondes, tremble, épouvantable, furieux, cieux, courroux, effroyable, terrible"
tonnes,6,"pipes, last, prunes, cloux, meures, muids"
tont,3,"iont, lont, rejettent"
tontes,16,"toures, routes, particulières, divertis, divines, etrangeres, diverfes, susdites, établies, spirituelles, diver, excellentes, principales, diverses, toutes, naturelles"
tordre,8,"l'ordre, ordre, nomination, prieur, bref, ordres, mandement, bourges"
torrent,3,"flots, couler, nuage"
tort,12,"accroire, dommage, regret, préjudice, déplaisir, honneur, semblant, envie, manqué, avantage, scandale, d'honneur"
toscane,4,"naples, capitale, d'autriche, moscovie"
tota,7,"locum, vitam, altera, magna, partem, omnis, scilicet"
total,5,"l'addition, remboursement, augmentations, recette, surplus"
totalement,6,"créateur, immuable, terrestre, éternellement, necessairement, substance"
toucha,24,"surprit, sentit, reçût, parut, connut, perdit, suivit, reconnut, remarqua, tira, porta, ouvrit, tomba, reçut, cacha, douta, montra, poussa, regarda, trouva, parla, jetta, jeta, sortit"
touchent,10,"paroissent, suivent, s'attachent, tombent, font, poussent, passent, couvrent, rencontrent, voyent"
toucher,9,"arracher, emporter, répondre, retenir, changer, emprunter, ôter, remuer, approcher"
touchez,3,"sauvez, aimez, exposez"
touché,14,"affligé, touchée, saisi, surpris, convaincu, charmé, sensible, maltraité, écouté, étonné, ravi, délivré, affligée, piqué"
touchée,8,"affligée, ravie, touché, sensible, charmé, affligé, persuadée, changée"
toulouse,12,"bourges, rennes, d'auvergne, rouen, provence, dauphiné, troyes, bourdeaux, cambrai, bayonne, lyon, nevers"
tour,6,"appartement, promenade, épée, autour, danser, rond"
toures,11,"routes, quelconques, aucunes, susdites, etrangeres, lesdites, divertis, diverses, diverfes, toutes, requises"
tourmens,7,"soupirs, mortels, ennuis, maux, douleurs, cruels, crimes"
tourment,13,"courroux, destin, rival, trépas, hélas, amant, cruel, redouble, trouble, desespoir, amour, helas, epoux"
tourmenter,3,"mourir, dormir, attraper"
tourna,23,"tournant, s'avança, leva, marchoit, courut, montra, marcha, suivit, sortit, tira, porta, jetta, remit, quitta, regarda, emporta, retourna, jeta, poussa, tourner, tournai, retira, sentit"
tournai,14,"barcelone, villars, marcha, vendôme, savoie, siège, camper, frontière, arrivant, brusquement, s'avança, luxembourg, rencontra, détachement"
tournant,13,"tourna, s'avança, tirant, regardant, marchoit, marcha, l'épaule, leva, doucement, derrière, tourner, gauche, tourné"
tournay,10,"cologne, rouen, bourges, rennes, nevers, lyon, bourdeaux, bayonne, toulouse, d'anvers"
tourne,8,"tourner, tournant, tirant, tombe, leve, tourna, pousse, jette"
tournent,10,"couvrent, passent, s'attachent, ôtent, jettent, poussent, rencontrent, tombent, voyent, portent"
tourner,13,"approcher, remuer, nager, lâcher, attacher, tourna, frapper, monter, marcher, tirer, placer, asseoir, enfoncer"
tournez,5,"tournant, liez, placez, gardez, formez"
tournois,9,"parisis, sols, deniers, lols, ecus, marc, livrc, florin, l'amende"
tourné,8,"rencontré, jetté, changé, retranché, ouvert, tourna, aperçu, coupé"
tournée,8,"ronde, couverte, enfoncé, tourner, muraille, tourna, garnie, tourné"
tours,8,"portraits, sermons, tableaux, peintures, murailles, bourges, ornemens, chateau"
tous,10,"premiers, derniers, beaux, tels, divins, différens, quels, certains, divers, spirituels"
tousses,8,"divers, tous, icurs, certains, différens, auxdits, aucuns, desdits"
toute,8,"telle, pleine, infinie, quelle, aucune, nulle, route, dernière"
toutefois,8,"neanmoins, prétendre, posseder, préjudicier, déroger, saisie, renonciation, autrement"
toutes,20,"routes, diverses, diverfes, différentes, naturelles, essentielles, spirituelles, meilleures, toures, particulières, divines, grandes, differentes, telles, temporelles, principales, passées, certaines, quelles, premieres"
trace,3,"veine, image, figure"
tracer,5,"appliquer, attacher, marquer, imiter, placer"
traces,8,"entrailles, ombres, têtes, ondes, veines, visages, pensées, épaules"
tradition,11,"doctrine, dogme, l'ecriture, manifestement, l'eglise, apôtres, conciles, grecque, l'evangile, ecriture, confession"
traditions,8,"constitutions, profanes, impostures, dogmes, théologiens, payens, idoles, histoires"
traduction,13,"traduit, bibliothèque, conjecture, relation, manuscrit, latin, latine, bibliotheque, edition, l'original, preface, critique, lecture"
traduire,11,"latin, fignifier, lire, expliquer, traduit, citer, appliquer, exprimer, rapporter, d'expliquer, traduction"
traduit,6,"latin, traduction, intitulé, latine, manuscrit, grec"
traduits,8,"traduit, preface, edition, françois, latin, latine, traduction, intitulé"
trafic,11,"commerce, l'amerique, etrangers, négocians, achat, denrées, marchands, profit, négociant, banquiers, interêt"
trafiquer,16,"villeux, transporter, marchands, hollandois, l'amerique, etrangers, ports, dises, négocians, empecher, envoyer, embarquer, marchandises, navires, étrangers, aborder"
tragedie,11,"scene, choeur, claudius, momus, inhumaine, diane, prologue, destin, fuyez, choeurs, junon"
tragique,3,"prologue, poëte, comédie"
tragédie,4,"prologue, comédie, théâtre, tragedie"
trahi,3,"sauvé, fauvé, maltraité"
trahir,5,"venger, contraindre, perfide, traître, infidèle"
trahison,3,"perfide, traître, coupable"
train,12,"troupeau, équipage, camarade, chemin, cabaret, coquin, poste, valet, état, hôte, habit, garçon"
trait,4,"portrait, pinceau, personnage, morceau"
traita,13,"reçût, reçut, regarda, parla, déclara, renvoya, pressa, surprit, consentit, suivit, présenta, parut, garda"
traitans,10,"quittances, fermiers, augmentations, amendes, comptables, débiteurs, payemens, commissaires, tailles, proprietaires"
traitant,6,"traité, parlant, traitez, traita, chapitre, traiter"
traite,9,"traité, changes, edition, traites, amsterdam, d'hollande, examine, journal, preface"
traitement,9,"augure, accueil, personnage, heur, usage, compliment, affront, accident, succés"
traitent,12,"mêlent, parlent, écrivent, entendent, rejettent, jouent, jugent, condamnent, travaillent, aiment, trompent, ignorent"
traiter,8,"user, mêler, s'accommoder, expliquer, accorder, brouiller, accommoder, examiner"
traites,13,"remises, changes, payemens, susdites, correspondans, usances, quittances, assignations, marchandises, négocians, augmentations, hambourg, marchas"
traitez,14,"edits, actes, privileges, articles, memoires, traité, ambassadeurs, faits, ecrits, clauses, decrets, contrats, etats, hérétiques"
traitoit,13,"parloit, regardoit, voyoit, faisoit, trouvoit, entendoit, demandoit, aimoit, marquoit, craignoit, favoit, appelloit, souhaitoit"
traitre,4,"flor, monnoye, francfort, iooo"
traits,10,"visages, airs, soupirs, ornemens, moments, cheveux, yeux, mouvemens, éclats, personnages"
traité,9,"conclu, traitez, articles, recueil, suede, clauses, reglement, conclue, traiter"
traitée,3,"envoyée, changée, jugée"
traités,6,"traitez, actes, mariages, privilèges, clauses, ambassadeurs"
trajan,11,"auguste, d'alexandre, pontife, constantin, capitole, cesar, romain, l'empire, empereurs, claudius, alexandre"
trajet,15,"détroit, naufrage, aborder, rivage, ruisseau, côtes, chemin, mouiller, barque, voyage, l'ancre, nord, espace, riviere, fleuve"
trancher,6,"sauver, enfoncer, trembler, couper, arracher, lâcher"
tranchée,12,"garnison, fosse, escadrons, cavalerie, ouverte, muraille, derrière, camper, bataillons, plaine, fenêtre, tournai"
tranquile,9,"tranquilité, repos, calme, douce, triste, sommeil, rude, doux, profonde"
tranquilité,4,"repos, union, paix, l'union"
tranquille,8,"charmant, doux, douce, repos, sommeil, triste, calme, profond"
tranquillement,13,"repos, demeurai, retira, sommeil, passa, sortit, quitta, brusquement, laissa, reposer, alla, dormir, leva"
tranquilles,5,"sombres, agréables, tristes, rudes, cruels"
tranquillité,6,"tranquilité, union, paix, repos, l'union, joye"
transport,9,"prix, denrées, transporter, l'achat, marchandises, dises, payement, marchas, trafic"
transporte,9,"vend, achete, envoye, nomme, tire, leve, prend, arrose, attend"
transporter,15,"acheter, décharger, trafiquer, vendre, retirer, envoyer, charger, embarquer, distribuer, porter, loger, vuider, mener, emporter, palier"
transports,8,"soupirs, ennuis, amants, voeux, cris, coeurs, souhaits, concerts"
transporté,11,"saisi, charmé, ravie, délivré, ravi, étonné, enterré, touché, retourné, brûlé, retiré"
transportée,6,"changée, affligée, touchée, ravie, enfermée, retirée"
transportées,5,"vendues, payées, vendus, achetées, portées"
travail,6,"travailler, exercice, métier, cultiver, fatigue, nourriture"
travailla,22,"travailloit, reçut, revint, suivit, commença, alla, reçût, retourna, arriva, l'envoya, demeura, retira, envoya, donna, partit, passa, rendit, quitta, acheva, trouva, vécut, servit"
travaillant,8,"travailler, boutique, métier, apprentifs, payant, travail, ouvriers, travaillent"
travaille,7,"employe, travailloit, prend, sert, veut, voudra, scait"
travaillent,12,"vivent, s'attachent, jouent, font, mêlent, passent, demeurent, aiment, ignorent, fervent, profitent, travailloient"
travailler,13,"divertir, continuer, employer, achever, travail, demeurer, préparer, envoyer, entretenir, l'entretenir, visiter, retirer, loger"
travaillez,20,"voudrez, ferez, ayez, étes, souhaitez, gardez, partez, préparez, manquez, aimez, disposez, prendrez, priez, tâchez, prenez, vouliez, voulez, pourrez, mêlez, souvenez"
travailloient,10,"alloient, trouverent, s'étoient, ôtoient, servoient, trouvèrent, faisoient, étoient, virent, travaillent"
travailloit,20,"travailla, parloit, commença, faisoit, passoit, vivoit, écrivoit, étoit, appella, apprit, voyoit, demeuroit, alloit, souhaitoit, favoit, servoit, aimoit, regardoit, trouvoit, prenoit"
travaillé,23,"étudié, vécu, tâché, paru, profité, manqué, servi, examiné, employé, appris, commencé, quitté, continué, entrepris, conservé, apris, renoncé, gagné, trouvé, fourni, rencontré, apporté, fervi"
travaux,9,"souffrances, ennuis, foins, souhaits, plaisirs, emplois, exploits, efforts, lauriers"
travers,13,"derriere, l'entour, ruisseau, autour, trous, milieu, derrière, doucement, creux, couvre, pointes, épais, pointe"
traverse,3,"plaine, ruisseau, riviere"
traverser,11,"aborder, attaquer, s'embarquer, mouiller, descendre, embarquer, passer, marcher, aller, nager, camper"
traversé,5,"rencontré, dérobé, sauvé, couru, percé"
traîner,7,"sauver, enfoncer, couler, passer, arracher, emporter, enfermer"
traître,7,"perfide, cruel, courroux, colère, rival, tremble, infidèle"
trcs,4,"tres, trés, très, bicn"
treize,20,"seize, quatorze, onze, quinze, douze, soixante, scpt, cinquante, sept, cinq, quarante, huit, trente, environ, neuf, vingt, quatre, vingr, cent, vingts"
tremblant,4,"voyant, frayeur, tremble, effroyable"
tremblante,3,"effroyable, mortelle, frayeur"
tremble,7,"courroux, traître, perfide, fuyez, encor, hélas, redouble"
tremblement,5,"tonnerre, frayeur, tomba, épouvantable, foudre"
trembler,11,"éclater, retentir, couler, perir, naître, paroître, tremble, tomber, paraître, accroire, pendre"
trempe,13,"liqueur, pâte, vapeur, poignée, peau, bouilli, bouteille, chaude, verre, d'huile, l'huile, graisse, fraîche"
tremper,16,"bouillir, rafraîchir, vinaigre, blanchir, refroidir, bouilli, chauffer, l'huile, cuire, laver, avaler, sécher, d'huile, fraîche, chaude, bouillons"
trempé,7,"bouilli, fondu, chaude, brûlé, allumé, cuit, verre"
trente,23,"quarante, cinquante, vingt, soixante, quatorze, seize, cinq, sept, onze, quinze, douze, quatre, scpt, neuf, environ, cents, huit, vingr, vingts, cens, cent, accomplis, millier"
tres,6,"trés, très, trcs, fort, extremement, aufli"
tribu,8,"juda, judée, s'appelloit, race, posterité, focieté, jacob, ifle"
tribun,17,"préteur, clodius, conful, sénat, senat, dictateur, césar, marcellus, tribuns, catilina, cefar, confuls, confulat, quintus, lentulus, pompée, marcus"
tribunal,8,"renvoi, jurisdiction, juge, jugement, juges, conseil, concil, justice"
tribunaux,13,"bailliages, decrets, ecclésiastiques, colleges, justices, sièges, gouverneurs, magistrats, juges, avocats, arrêts, jurisdiction, souveraines"
tribune,15,"salle, l'appartement, galerie, fauteuil, descendit, assis, l'autel, affis, messe, chapelle, palais, debout, fenêtre, chaise, voute"
tribuns,10,"confuls, consuls, senat, tribun, magistrats, augures, sénat, citoyens, marcellus, catilina"
trilles,6,"etoffes, laine, draps, étoffes, blanches, fines"
triment,6,"scra, vanneau, saie, droir, delits, inconvenient"
trinité,22,"ecriture, l'ecriture, vierge, sainte, l'evangile, mystere, conception, sacrement, cene, divines, divinité, l'humilité, marie, l'apôtre, divine, doctrine, catherine, théologie, baptême, dogme, l'eglise, spirituelle"
triomphant,9,"fatal, vainqueur, neptune, foudre, victorieux, mortel, tremble, glorieux, lauriers"
triomphe,11,"victoire, vainqueur, capitole, sceptre, diane, tombeau, lauriers, célébrer, victorieux, temple, martyre"
triompher,3,"vainqueur, éclater, venger"
triomphes,7,"concerts, exploits, tombeaux, souhaits, lauriers, heros, voeux"
triple,7,"double, poulie, quarré, blanche, rond, simple, quarrée"
triste,15,"déplorable, funeste, pitoyable, cruelle, cruel, fatal, malheureux, hélas, affligée, miserable, terrible, affreux, effroyable, tristesse, tristes"
tristes,8,"soupirs, sombres, mortelles, ennuis, cruels, affreux, horribles, tristesse"
tristesse,9,"mortelle, douleur, frayeur, joie, affliction, joye, trouble, soupirs, douleurs"
triture,5,"recolte, nourriture, volaille, choux, légumes"
troc,13,"achat, l'achat, achetées, vendues, marchas, dises, comptant, sucres, fret, marchandises, prime, vendent, denrées"
troi,8,"siéme, quatrieme, huitième, cinquième, septime, vingr, quatrième, deuxième"
trois,20,"cinq, quatre, quinze, huit, quarante, douze, onze, neuf, sept, cinquante, quatorze, dcux, trente, seize, vingt, environ, chacune, plusieurs, soixante, scpt"
troisieme,18,"quatrieme, cinquième, troisiéme, quatrième, troisième, prémier, deuxième, septime, huitième, premiére, fécond, sixième, seconde, second, premiere, siéme, douzième, précedent"
troisième,19,"quatrième, deuxième, cinquième, troisiéme, sixième, première, huitième, septime, second, quatrieme, premier, seconde, douzième, fécond, premiére, neuvième, dernière, prémier, premiere"
troisiéme,15,"quatrième, cinquième, troisième, fécond, second, deuxième, seconde, premiére, prémier, premiere, premier, septime, quatrieme, précedent, sixième"
trompa,10,"opposa, chercha, douta, voulut, crut, doutoit, attendoit, trouva, doutant, craignoit"
trompe,6,"cache, entend, moque, pense, parle, écoute"
trompent,16,"entendent, contentent, rejettent, ignorent, écrivent, voyent, mêlent, parlent, croyent, perdent, condamnent, s'attachent, s'imaginent, craignent, profitent, enseignent"
tromper,5,"imiter, cacher, railler, discerner, attraper"
tromperie,7,"malice, fraude, raillerie, fourbe, aion, ation, larcin"
trompette,7,"troupe, tonnerre, épée, trompettes, cloche, danser, crier"
trompettes,8,"retentir, flambeaux, pavillons, cris, concerts, instrumens, nymphes, acclamations"
trompeur,10,"fourbe, mortel, cruel, perfide, méchant, brutal, traître, cache, infidèle, maudit"
trompeurs,3,"impies, cruels, ignorans"
trompez,6,"contentez, souvenez, trouvez, appellez, favez, direz"
trompé,10,"maltraité, convaincu, contenté, fâché, avisé, persuadé, averti, informé, fauvé, aperçu"
trompée,6,"persuadée, ravie, affligée, touchée, étonnée, changée"
tronc,11,"l'écorce, racine, tige, d'arbre, l'arbre, veine, coupe, creux, feuilles, pousse, arbre"
troncs,9,"d'arbres, cloux, tiges, feuilles, tronc, chevilles, boutons, buis, d'arbre"
trop,4,"assez, assés, fort, allez"
trou,5,"trous, fosse, panier, enfoncer, creux"
trouble,8,"desespoir, frayeur, tristesse, redouble, sommeil, chagrin, douleur, empêchement"
troublent,3,"causent, empêchent, suivent"
troubler,6,"causer, souffrir, permettre, jouir, cacher, contraindre"
troubles,4,"desordres, évenemens, guerres, maux"
troublé,5,"saisi, affligé, touché, maltraité, écouté"
troublée,4,"affligée, touchée, ravie, changée"
troupe,5,"trompette, nymphe, camp, plaine, armée"
troupeau,10,"berger, chien, camarade, enfant, loup, pasteur, brebis, agneau, moutons, l'agneau"
troupeaux,7,"bergers, agneaux, loups, champs, rivages, moutons, brebis"
troupes,17,"armées, l'armée, ennemis, cavalerie, soldats, forces, garnisons, camp, armée, dragons, flotte, détachement, commandoit, d'infanterie, bataillons, escadrons, garnison"
trous,9,"planches, bâtons, chevilles, paniers, bouts, morceaux, pots, filets, pointes"
trouva,26,"trouvant, retira, entra, parut, tira, revint, tomba, trouvoit, reçut, rencontra, sortit, trouvai, remit, suivit, courut, rendit, cacha, demeura, retourna, sentit, conduisit, apprit, attendoit, jugea, trouvait, emporta"
trouvai,10,"j'étois, trouva, j'allai, trouvant, demeurai, j'eus, j'étais, étois, parut, faisois"
trouvait,25,"voyait, était, serait, tenait, n'était, savait, aimait, faisait, j'étais, passait, croyait, disait, allait, donnait, prenait, c'était, voulait, demandait, pouvait, parlait, trouvoit, aurait, trouva, n'avait, avait"
trouvant,23,"trouva, trouvai, voyant, retira, trouvoit, laissa, remit, chercha, rendit, retourna, parut, etant, entra, demeura, paroissoit, demeuroit, revint, sortit, trouverent, conduisit, trouvait, tomba, s'étant"
trouve,10,"trouvera, trouvent, trouvait, remarque, voit, mêle, trouvoit, considere, nomme, tient"
trouvent,18,"rencontrent, trouveront, font, passent, entrent, tombent, deviennent, demeurent, paroissent, produisent, iont, voyent, mettent, reçoivent, sont, lont, s'attachent, jettent"
trouver,11,"arriver, chercher, apporter, voir, placer, joindre, attendre, loger, demeurer, entrer, appliquer"
trouvera,12,"trouve, verra, jugera, examine, fera, considere, aura, donnera, voudra, mettra, conviendra, trouveront"
trouverent,15,"trouvèrent, virent, sortirent, mirent, alloient, allerent, entrerent, prirent, crurent, ôtoient, furent, eurent, firent, jetterent, étoient"
trouverez,13,"prendrez, verrez, cherchez, aurez, souvenez, étes, mettrez, ferez, n'aurez, souhaitez, voudrez, donnerez, serez"
trouveroient,9,"trouveront, seroient, trouverent, voudroient, trouvent, feroient, profitent, trouvèrent, voyent"
trouveroit,11,"trouvoit, feroit, trouvera, seroit, voyoit, viendroit, trouvait, trouva, auroit, trouve, manqueroit"
trouverons,19,"trouvons, savons, dirons, tenons, appellons, recevons, verrons, irons, ferions, ferons, mettons, cherchons, entendons, jugeons, voyons, saisions, vivons, serions, serons"
trouveront,18,"trouvent, jugent, voudront, jugeront, seront, feront, auront, voyent, pourront, seroient, donneront, rencontrent, feroient, font, liront, pourvoient, demeureront, puisent"
trouvez,11,"trompez, portez, jugez, trouverez, favez, proposez, contentez, direz, souvenez, étes, montrez"
trouvoient,11,"trouverent, alloient, ôtoient, trouveront, virent, crurent, feroient, trouvèrent, seroient, travailloient, trouvent"
trouvois,13,"j'étois, ferois, étois, trouvai, j'avois, faisois, pouvois, serois, trouvoit, m'étois, avois, n'avois, demeurai"
