mot_cible,nb_ancres,ancres
afie,5,"afrique, grece, italie, l'italie, parthes"
afiez,4,"assez, trop, assés, extremement"
afin,17,"pourvû, pourvu, avant, peur, attendant, empêche, empêcher, observant, faudra, foin, suffit, empêchent, l'obliger, souhaite, faut, voulons, tacher"
aflez,7,"assez, trop, assés, extremement, fort, aufli, trés"
afrique,5,"grece, italie, parthes, l'italie, d'italie"
agens,12,"commissaires, vicaires, syndics, avocats, procureurs, consuls, fermiers, comptables, ambassadeurs, conseillers, officiers, mandemens"
agent,6,"secrétaire, ambassadeur, secretaire, officier, négociant, office"
agir,7,"user, agit, emporter, entrer, appeller, étre, executer"
agissent,9,"reçoivent, entendent, trompent, passent, mêlent, rencontrent, s'attachent, rejettent, jettent"
agitation,4,"vapeur, chaleur, tristesse, affliction"
agite,3,"irrite, redouble, s'abandonne"
agité,4,"violent, saisi, accablé, calme"
agitée,3,"changée, touchée, jettée"
agneau,10,"animal, oiseau, astre, oracle, anneau, arbre, enfant, l'agneau, oeuf, troupeau"
agneaux,10,"brebis, moutons, bergers, oeufs, poulets, vaches, poules, loups, paniers, bêtes"
agreable,14,"agréable, sensible, charmante, admirable, belle, douce, commode, rare, délicate, charmant, agréablement, gracieux, magnifique, favorable"
agréable,16,"agreable, commode, délicat, admirable, gracieux, douce, charmante, délicate, charmant, belle, agréablement, brillant, exquis, agréables, doux, magnifique"
agréablement,9,"agréables, agréable, conversation, agreable, jolies, belles, divertit, promenade, charmante"
agréables,7,"délicates, belles, jolies, excellentes, magnifiques, agréablement, parfaites"
agrémens,10,"plaisirs, douceurs, évenemens, divertissemens, matins, foins, visages, ornemens, traits, spectacles"
agrément,13,"ornement, éclaircissement, empressement, éclat, artifice, équipage, avantage, incident, entretien, ouvrage, étonnement, éloge, exercice"
aiant,26,"s'étant, l'ayant, m'ayant, avoit, avaient, avait, eussent, avoient, eurent, avoic, l'avoient, l'avait, avions, l'avaient, j'eusse, l'avoit, j'avois, l'eût, auroit, aurait, j'avais, m'avoit, n'eussent, auroient, n'eût, d'avoir"
aide,6,"commande, dicu, eternel, camarade, criant, commandement"
aider,11,"obliger, l'obliger, tacher, attacher, garnir, entretenir, envoyer, fournir, employer, préparer, oter"
aides,16,"requêtes, registres, controlleur, conseillers, finances, syndics, bailliages, avocats, huissiers, procureurs, receveur, sergens, tailles, comptables, enquêtes, elections"
aidé,8,"refusé, offert, prié, laissé, voulu, maltraité, sauvé, commandé"
aient,22,"ayent, n'ayent, eussent, n'eussent, avaient, fassent, auroient, n'auroient, n'ont, n'avaient, avoient, auront, fussent, l'ont, m'ont, soient, fissent, ignorent, voyent, n'avoient, suissent, aillent"
aife,17,"aise, fâché, étonné, persuadée, ravi, voudrois, informé, persuadé, affligé, content, surpris, étonnée, averti, difficile, ravie, well, charmé"
aifé,12,"difficile, aisé, facile, capable, dangereux, inutile, permis, necessaire, étonné, obligé, possible, aife"
aigre,7,"fade, jaune, délicat, maigre, rouge, chaud, bile"
ailes,16,"aîles, jambes, têtes, plumes, épaules, cheveux, oreilles, pointes, bouts, tiges, dents, queue, rayons, queues, feuilles, doigts"
aille,10,"serve, prenne, mette, meure, tienne, fasse, retourne, croye, veuille, rende"
