rank,word,drift_1789,drift_moyen
457,yvoire,0.7248,0.6712
458,universelle,0.7248,0.6417
459,secrète,0.7248,0.6863
460,t'elle,0.7246,0.5452
461,sant,0.7246,0.7535
462,négociation,0.7244,0.6630
463,delits,0.7244,0.6600
464,cele,0.7243,0.6732
465,vantage,0.7242,0.7274
466,cant,0.7241,0.6830
467,l'oracle,0.7241,0.7536
468,tion,0.7239,0.7216
469,caf,0.7238,0.6685
470,con,0.7236,0.6546
471,devin,0.7236,0.6691
472,mercure,0.7235,0.7022
473,indemnité,0.7233,0.6505
474,ombrage,0.7231,0.7097
475,daus,0.7230,0.7088
476,l'ex,0.7229,0.7055
477,qu'eux,0.7228,0.6728
478,prin,0.7224,0.5876
479,hh,0.7224,0.6863
480,neur,0.7224,0.6661
481,che,0.7223,0.6940
482,mu,0.7223,0.7191
483,méritoit,0.7223,0.6239
484,érant,0.7221,0.7130
485,détail,0.7221,0.7640
486,patentes,0.7217,0.5712
487,seur,0.7216,0.6409
488,fa,0.7216,0.6146
489,gneur,0.7215,0.6628
490,conjuration,0.7214,0.6563
491,quant,0.7213,0.7562
492,convention,0.7212,0.4580
493,vaine,0.7212,0.5973
494,pres,0.7211,0.6852
495,pen,0.7211,0.7649
496,rets,0.7209,0.6736
497,royaux,0.7208,0.6023
498,paroîtra,0.7205,0.6828
499,déja,0.7205,0.5901
500,gran,0.7204,0.6885
501,hon,0.7203,0.6774
502,xli,0.7200,0.6398
503,fabriquer,0.7200,0.6668
504,parfaitement,0.7200,0.6577
505,attention,0.7199,0.6375
506,platte,0.7199,0.5456
507,présentement,0.7199,0.7360
508,accomplis,0.7198,0.7029
509,tatien,0.7198,0.6711
510,san,0.7196,0.6766
511,ouf,0.7191,0.6365
512,rance,0.7190,0.6633
513,xlviii,0.7187,0.6695
514,l'egard,0.7186,0.6896
515,pitoyable,0.7186,0.7205
516,tres,0.7186,0.7037
517,censé,0.7186,0.7280
518,exposé,0.7184,0.6595
519,éternellement,0.7178,0.6559
520,lé,0.7176,0.7070
521,rel,0.7176,0.6575
522,exa,0.7175,0.6211
523,paternelle,0.7173,0.6532
524,lay,0.7172,0.6228
525,han,0.7170,0.6666
526,cloches,0.7169,0.4992
527,grotius,0.7169,0.7185
528,infi,0.7168,0.6600
529,indi,0.7167,0.6764
530,miais,0.7167,0.7466
531,d'oeil,0.7165,0.6896
532,ceque,0.7164,0.6787
533,ost,0.7164,0.6612
534,entendant,0.7163,0.7198
535,choix,0.7161,0.6675
536,armé,0.7160,0.6174
537,leut,0.7159,0.7728
538,nier,0.7159,0.6868
539,trempe,0.7158,0.6777
540,tem,0.7155,0.6523
541,pénitence,0.7153,0.6624
542,fons,0.7150,0.6083
543,possession,0.7149,0.7083
544,l'etre,0.7148,0.5673
545,extraordinaires,0.7146,0.6730
546,relle,0.7143,0.7148
547,faillir,0.7142,0.6479
548,gg,0.7140,0.6695
549,accommoder,0.7140,0.6589
550,amas,0.7140,0.6866
551,diffe,0.7139,0.6402
552,ains,0.7137,0.6053
553,flon,0.7136,0.6936
554,qualité,0.7133,0.6559
555,nal,0.7132,0.7039
556,opiniâtre,0.7132,0.6477
557,baiser,0.7130,0.6588
558,d'artifice,0.7128,0.7498
559,chef,0.7126,0.7689
560,confolation,0.7124,0.6590
561,bie,0.7123,0.6111
562,mira,0.7123,0.6416
563,regnoit,0.7122,0.6469
564,rable,0.7121,0.6309
565,estre,0.7120,0.5201
566,ecrire,0.7120,0.6706
567,mat,0.7120,0.5955
568,intime,0.7117,0.6693
569,l'espace,0.7116,0.7404
570,joué,0.7114,0.6049
571,mage,0.7112,0.6684
572,pote,0.7111,0.6032
573,fas,0.7109,0.5674
574,xxv,0.7109,0.6527
575,liy,0.7107,0.6888
576,lest,0.7106,0.7053
577,bian,0.7106,0.5237
578,réelles,0.7106,0.6745
579,l'ac,0.7104,0.7270
