word,modele,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,disponible
renommée,camembert,1710-1720,1750-1760,0.009264,0.990736,174,448,5696,True
renommée,dalembert,1710-1720,1750-1760,0.017725,0.982275,174,448,5696,True
bref,camembert,1700-1710,1780-1789,0.037046,0.962954,230,737,5668,True
bref,dalembert,1700-1710,1780-1789,0.094403,0.905597,230,737,5668,True
exposé,camembert,1740-1750,1770-1780,0.010301,0.989699,636,2063,5709,True
exposé,dalembert,1740-1750,1770-1780,0.018833,0.981167,636,2063,5709,True
mâle,camembert,1720-1730,1780-1789,0.02048,0.97952,186,1309,5685,True
mâle,dalembert,1720-1730,1780-1789,0.020433,0.979567,186,1309,5685,True
nouvelles,camembert,1700-1710,1730-1740,0.017813,0.982187,2170,3995,5717,True
nouvelles,dalembert,1700-1710,1730-1740,0.027369,0.972631,2170,3995,5717,True
nullité,camembert,1710-1720,1789-1802,0.062381,0.937619,427,908,5674,True
nullité,dalembert,1710-1720,1789-1802,0.075313,0.924687,427,908,5674,True
gent,camembert,1730-1740,1789-1802,0.010559,0.989441,654,1073,5687,True
gent,dalembert,1730-1740,1789-1802,0.013487,0.986513,654,1073,5687,True
more,camembert,1740-1750,1789-1802,0.095642,0.904358,581,1158,5707,True
more,dalembert,1740-1750,1789-1802,0.076286,0.923714,581,1158,5707,True
def,camembert,1700-1710,1730-1740,0.042329,0.957671,1393,647,5685,True
def,dalembert,1700-1710,1730-1740,0.134432,0.865568,1393,647,5685,True
pré,camembert,1700-1710,1780-1789,0.010514,0.989486,745,8233,5708,True
pré,dalembert,1700-1710,1780-1789,0.019029,0.980971,745,8233,5708,True
mlle,camembert,1750-1760,1770-1780,0.020076,0.979924,1946,1791,5651,True
mlle,dalembert,1750-1760,1770-1780,0.055797,0.944203,1946,1791,5651,True
sain,camembert,1750-1760,1780-1789,0.007835,0.992165,412,1524,5691,True
sain,dalembert,1750-1760,1780-1789,0.017678,0.982322,412,1524,5691,True
