word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
passage,1740-1750,1770-1780,0.872775,0.127225,1925,5267,5714,0.017633,0.982367,0.02009,0.97991
publique,1730-1740,1740-1750,0.872714,0.127286,2241,1996,5710,0.012907,0.987093,0.016858,0.983142
nant,1700-1710,1770-1780,0.872694,0.127306,329,1070,5685,0.017986,0.982014,0.030816,0.969184
privé,1720-1730,1760-1770,0.87261,0.12739,513,1487,5705,0.015685,0.984315,0.021526,0.978474
déja,1700-1710,1740-1750,0.871916,0.128084,2965,7524,5700,0.017373,0.982627,0.023275,0.976725
sou,1710-1720,1740-1750,0.871853,0.128147,269,438,5696,0.007845,0.992155,0.019559,0.980441
reux,1730-1740,1780-1789,0.871173,0.128827,397,1680,5677,0.013443,0.986557,0.030784,0.969216
réussit,1740-1750,1780-1789,0.870793,0.129207,199,741,5698,0.013382,0.986618,0.017918,0.982082
transport,1700-1710,1789-1802,0.870374,0.129626,616,3635,5708,0.013938,0.986062,0.028173,0.971827
semblable,1730-1740,1740-1750,0.869749,0.130251,1881,2175,5713,0.010252,0.989748,0.017218,0.982782
republique,1710-1720,1789-1802,0.869655,0.130345,451,578,5668,0.029978,0.970022,0.054837,0.945163
principalement,1710-1720,1740-1750,0.869653,0.130347,1167,1378,5709,0.010928,0.989072,0.023174,0.976826
ordinaire,1710-1720,1730-1740,0.867796,0.132204,2768,3983,5717,0.009659,0.990341,0.014408,0.985592
scandale,1700-1710,1750-1760,0.867371,0.132629,171,334,5663,0.009316,0.990684,0.01443,0.98557
présence,1720-1730,1750-1760,0.866458,0.133542,1276,2137,5714,0.0147,0.9853,0.021209,0.978791
deuil,1770-1780,1789-1802,0.86637,0.13363,930,1011,5687,0.008101,0.991899,0.015262,0.984738
tres,1740-1750,1770-1780,0.865922,0.134078,3781,5367,5704,0.011597,0.988403,0.020249,0.979751
voy,1700-1710,1740-1750,0.865778,0.134222,428,3524,5689,0.105756,0.894244,0.280572,0.719428
mad,1730-1740,1740-1750,0.865387,0.134613,153,601,5660,0.015346,0.984654,0.053211,0.946789
liens,1730-1740,1789-1802,0.865127,0.134873,866,2533,5707,0.016273,0.983727,0.017787,0.982213
représentation,1780-1789,1789-1802,0.864547,0.135453,2180,2253,5700,0.026908,0.973092,0.028789,0.971211
prochaine,1740-1750,1770-1780,0.864048,0.135952,496,1302,5697,0.009016,0.990984,0.015579,0.984421
conf,1700-1710,1789-1802,0.86373,0.13627,154,1371,5671,0.011354,0.988646,0.041975,0.958025
commun,1730-1740,1740-1750,0.863479,0.136521,4080,3815,5717,0.012144,0.987856,0.023119,0.976881
prêts,1750-1760,1789-1802,0.862908,0.137092,1156,1743,5698,0.040735,0.959265,0.031929,0.968071
rigoureux,1770-1780,1789-1802,0.862883,0.137117,959,945,5686,0.008587,0.991413,0.012359,0.987641
universel,1750-1760,1760-1770,0.862789,0.137211,711,1020,5692,0.006285,0.993715,0.012,0.988
mémoire,1710-1720,1730-1740,0.862705,0.137295,1056,2321,5714,0.015515,0.984485,0.020735,0.979265
confusion,1770-1780,1780-1789,0.861066,0.138934,1631,1812,5705,0.009409,0.990591,0.009268,0.990732
renommée,1710-1720,1750-1760,0.861014,0.138986,174,448,5696,0.009264,0.990736,0.017725,0.982275
bref,1700-1710,1780-1789,0.859925,0.140075,230,737,5668,0.037046,0.962954,0.094403,0.905597
exposé,1740-1750,1770-1780,0.859567,0.140433,636,2063,5709,0.010301,0.989699,0.018833,0.981167
mâle,1720-1730,1780-1789,0.859515,0.140485,186,1309,5685,0.02048,0.97952,0.020433,0.979567
nouvelles,1700-1710,1730-1740,0.858446,0.141554,2170,3995,5717,0.017813,0.982187,0.027369,0.972631
nullité,1710-1720,1789-1802,0.856039,0.143961,427,908,5674,0.062381,0.937619,0.075313,0.924687
gent,1730-1740,1789-1802,0.85565,0.14435,654,1073,5687,0.010559,0.989441,0.013487,0.986513
more,1740-1750,1789-1802,0.855638,0.144362,581,1158,5707,0.095642,0.904358,0.076286,0.923714
def,1700-1710,1730-1740,0.855156,0.144844,1393,647,5685,0.042329,0.957671,0.134432,0.865568
pré,1700-1710,1780-1789,0.855026,0.144974,745,8233,5708,0.010514,0.989486,0.019029,0.980971
mlle,1750-1760,1770-1780,0.853983,0.146017,1946,1791,5651,0.020076,0.979924,0.055797,0.944203
sain,1750-1760,1780-1789,0.853412,0.146588,412,1524,5691,0.007835,0.992165,0.017678,0.982322
faculté,1720-1730,1740-1750,0.853377,0.146623,667,1335,5708,0.04889,0.95111,0.04448,0.95552
cadix,1710-1720,1730-1740,0.852814,0.147186,174,131,5644,0.014035,0.985965,0.030285,0.969715
fran,1740-1750,1789-1802,0.852436,0.147564,1353,2706,5685,0.028721,0.971279,0.04077,0.95923
vain,1730-1740,1770-1780,0.852286,0.147714,2281,4637,5712,0.009805,0.990195,0.020995,0.979005
quelqu,1720-1730,1730-1740,0.852233,0.147767,202,143,5716,0.01405,0.98595,0.017833,0.982167
reur,1700-1710,1730-1740,0.851795,0.148205,139,531,5672,0.014447,0.985553,0.029481,0.970519
