word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
rendirent,1710-1720,1730-1740,0.400022,0.599978,266,1031,5688
trouvoient,1710-1720,1740-1750,0.400004,0.599996,332,960,5695
quitta,1710-1720,1720-1730,0.398346,0.601654,206,281,5684
étois,1700-1710,1710-1720,0.397817,0.602183,132,146,5702
fallut,1700-1710,1730-1740,0.397196,0.602804,401,706,5689
allé,1750-1760,1760-1770,0.39662,0.60338,519,483,5698
book,1700-1710,1789-1802,0.395729,0.604271,682,362,3925
pourrois,1710-1720,1720-1730,0.395599,0.604401,410,391,5696
xvii,1710-1720,1730-1740,0.395077,0.604923,452,940,5708
alloient,1750-1760,1760-1770,0.394471,0.605529,500,791,5691
contraint,1700-1710,1710-1720,0.390902,0.609098,432,576,5692
demandoit,1710-1720,1760-1770,0.390365,0.609635,340,908,5696
boeufs,1730-1740,1760-1770,0.388662,0.611338,408,1138,5666
froment,1720-1730,1760-1770,0.384899,0.615101,563,3989,5673
demandai,1700-1710,1710-1720,0.384398,0.615602,105,252,5601
convenir,1700-1710,1730-1740,0.381735,0.618265,434,1054,5713
parents,1700-1710,1750-1760,0.381556,0.618444,203,342,5662
cavalerie,1720-1730,1789-1802,0.379727,0.620273,1912,3209,5687
semaines,1710-1720,1750-1760,0.379587,0.620413,390,466,5683
veuille,1710-1720,1750-1760,0.377638,0.622362,477,874,5702
croient,1710-1720,1740-1750,0.374465,0.625535,253,1077,5704
vinrent,1700-1710,1730-1740,0.374188,0.625812,387,950,5685
portoient,1710-1720,1789-1802,0.37004,0.62996,366,910,5689
trouveroit,1720-1730,1770-1780,0.368917,0.631083,461,1430,5696
semblent,1710-1720,1789-1802,0.368631,0.631369,342,2155,5710
rendoit,1720-1730,1730-1740,0.365171,0.634829,471,1102,5700
sauroit,1700-1710,1740-1750,0.362687,0.637313,170,456,5675
ferions,1710-1720,1789-1802,0.360389,0.639611,171,674,5667
quarante,1700-1710,1750-1760,0.359447,0.640553,1713,2922,5707
voulois,1710-1720,1740-1750,0.358205,0.641795,248,854,5690
avions,1710-1720,1730-1740,0.358147,0.641853,812,940,5708
alloit,1710-1720,1750-1760,0.356533,0.643467,663,1697,5702
aurois,1710-1720,1720-1730,0.356487,0.643513,167,183,5703
allait,1740-1750,1760-1770,0.35601,0.64399,165,414,5641
aurions,1720-1730,1770-1780,0.355402,0.644598,481,821,5696
voudront,1700-1710,1750-1760,0.355047,0.644953,311,574,5694
pouvois,1710-1720,1720-1730,0.354652,0.645348,260,477,5691
sera,1710-1720,1720-1730,0.352464,0.647536,2361,1506,5717
falloit,1710-1720,1720-1730,0.352082,0.647918,1064,1935,5712
fauroit,1700-1710,1789-1802,0.351182,0.648818,506,1225,5672
étiez,1710-1720,1780-1789,0.350816,0.649184,248,1227,5685
paroissoit,1710-1720,1720-1730,0.349887,0.650113,348,449,5701
trouvèrent,1710-1720,1730-1740,0.347839,0.652161,239,383,5682
ferez,1710-1720,1740-1750,0.34569,0.65431,912,1272,5699
