rank,word,drift_global,drift_moyen
404,commun,0.8004,0.7172
405,ivre,0.8003,0.6214
406,sen,0.8000,0.7426
407,rein,0.8000,0.6132
408,divorce,0.7998,0.5063
409,pourvue,0.7997,0.5546
410,corn,0.7996,0.6397
411,l'in,0.7996,0.7589
412,bb,0.7993,0.7283
413,suppliant,0.7992,0.6261
414,cte,0.7992,0.5903
415,l'intérieur,0.7987,0.5049
416,vident,0.7986,0.6274
417,acheve,0.7985,0.7148
418,commu,0.7983,0.6249
419,d'ac,0.7978,0.7360
420,extraordinairement,0.7977,0.6087
421,n'importe,0.7976,0.7607
422,chartre,0.7976,0.4450
423,posseder,0.7976,0.6975
424,perpétuité,0.7974,0.5198
425,aug,0.7973,0.6463
426,ga,0.7972,0.6313
427,ela,0.7968,0.6459
428,peri,0.7966,0.5779
429,qu'a,0.7965,0.6880
430,déposer,0.7964,0.5323
431,cle,0.7963,0.6608
432,ieux,0.7963,0.6278
433,informe,0.7960,0.5994
434,fuf,0.7957,0.7209
435,occa,0.7956,0.6110
436,plain,0.7956,0.6394
437,ferver,0.7956,0.6346
438,liberte,0.7952,0.5786
439,l'instruction,0.7952,0.5861
440,chai,0.7951,0.6075
441,vieux,0.7950,0.7796
442,courre,0.7948,0.6624
443,rous,0.7948,0.5932
444,dition,0.7947,0.6860
445,sin,0.7947,0.6282
446,sion,0.7947,0.6483
447,tiques,0.7946,0.6168
448,sauve,0.7945,0.5671
449,dicta,0.7944,0.4674
450,restez,0.7943,0.4727
451,demeu,0.7942,0.6641
452,dignement,0.7941,0.7795
453,unis,0.7941,0.4656
454,d'égard,0.7941,0.7610
455,condom,0.7940,0.5914
456,d'humeur,0.7939,0.4899
457,l'espece,0.7936,0.5746
458,droi,0.7933,0.5323
459,mnes,0.7932,0.6991
460,allier,0.7932,0.6251
461,pepin,0.7928,0.5525
462,encourage,0.7927,0.4684
463,parte,0.7925,0.6159
464,mouve,0.7925,0.6298
465,nent,0.7924,0.7309
466,velle,0.7924,0.6848
467,lion,0.7924,0.6435
468,l'indignation,0.7924,0.7452
469,formel,0.7923,0.5343
470,lif,0.7923,0.8178
471,truite,0.7922,0.6837
472,lent,0.7921,0.7863
473,miais,0.7919,0.7466
474,jui,0.7919,0.6532
475,pondre,0.7918,0.6826
476,dau,0.7917,0.5642
477,saci,0.7910,0.6568
478,nouveau,0.7909,0.7166
479,éga,0.7908,0.6246
480,fran,0.7907,0.7750
481,vellent,0.7905,0.5787
482,bris,0.7904,0.6799
483,tance,0.7904,0.6000
484,mm,0.7904,0.6004
485,flon,0.7903,0.6936
486,opéra,0.7901,0.5747
487,d'ajouter,0.7901,0.6614
488,tri,0.7899,0.6201
489,incon,0.7899,0.6555
490,l'oi,0.7899,0.6676
491,contin,0.7898,0.6066
492,aque,0.7898,0.5770
493,sus,0.7897,0.6330
494,vi,0.7896,0.6394
495,vail,0.7896,0.6860
496,nel,0.7895,0.6318
497,lors,0.7892,0.8379
498,iij,0.7892,0.7194
499,souve,0.7890,0.6857
500,site,0.7888,0.6687
501,cond,0.7888,0.5771
502,natu,0.7888,0.6625
503,d'avertir,0.7887,0.7083
504,dece,0.7887,0.6845
505,présentement,0.7885,0.7360
506,simple,0.7884,0.7371
507,pet,0.7884,0.5856
508,tâche,0.7883,0.6878
509,ntre,0.7882,0.5859
510,comi,0.7880,0.7077
511,nice,0.7878,0.5885
512,prévenus,0.7878,0.5017
513,dee,0.7878,0.6412
514,mittere,0.7877,0.5237
515,avants,0.7876,0.6348
516,regnent,0.7875,0.6900
517,luy,0.7870,0.4450
518,reaux,0.7867,0.5717
519,divi,0.7866,0.5951
520,d'in,0.7865,0.6861
521,id,0.7864,0.6306
522,tique,0.7862,0.6744
523,dins,0.7861,0.6083
524,paro,0.7861,0.5625
525,chaste,0.7861,0.5927
526,marquant,0.7859,0.6161
527,ments,0.7859,0.6359
528,lage,0.7856,0.6971
529,traitant,0.7855,0.6119
530,san,0.7852,0.6766
531,l'enceinte,0.7851,0.6522
532,recommence,0.7850,0.5446
533,peplus,0.7850,0.6807
534,duite,0.7850,0.6550
535,conmme,0.7848,0.6020
536,aiant,0.7847,0.5372
537,duire,0.7847,0.6421
538,ale,0.7847,0.6149
539,l'impossibilité,0.7845,0.6967
540,désormais,0.7844,0.6893
541,majeure,0.7843,0.6155
542,gence,0.7842,0.6276
543,l'embarras,0.7841,0.7713
544,raisonnablement,0.7840,0.7557
545,hors,0.7840,0.7858
546,blement,0.7839,0.7064
547,réglés,0.7839,0.5629
548,ters,0.7834,0.6361
549,vn,0.7833,0.6524
550,future,0.7832,0.7768
551,gueux,0.7830,0.7227
552,nois,0.7829,0.6692
553,poir,0.7829,0.5782
554,diverti,0.7827,0.6722
555,berté,0.7826,0.7249
556,paroîtra,0.7826,0.6828
557,éle,0.7824,0.6900
558,triment,0.7823,0.6484
559,sar,0.7821,0.6200
560,d'inquiétude,0.7820,0.6154
561,seu,0.7820,0.5684
562,pre,0.7818,0.7270
563,transport,0.7815,0.7225
564,pagne,0.7814,0.5951
565,hon,0.7814,0.6774
566,consi,0.7813,0.5926
567,prochain,0.7813,0.7729
568,gou,0.7813,0.6988
569,capitation,0.7812,0.5082
570,marcel,0.7810,0.5873
571,bailly,0.7809,0.5223
572,compo,0.7808,0.6425
573,d'au,0.7808,0.7387
574,apris,0.7805,0.5351
575,retenue,0.7804,0.5386
576,l'appui,0.7804,0.5735
577,sedan,0.7802,0.5940
578,van,0.7801,0.6630
579,mats,0.7800,0.6472
580,cois,0.7800,0.6087
581,queflion,0.7800,0.5184
582,penible,0.7800,0.7053
583,éta,0.7795,0.5739
584,l'ac,0.7792,0.7270
585,dv,0.7792,0.5261
586,ima,0.7791,0.6900
587,autrement,0.7791,0.8224
588,lib,0.7790,0.6217
589,fauf,0.7788,0.6947
590,voi,0.7788,0.5431
591,pies,0.7786,0.4872
592,consommer,0.7785,0.6553
593,nient,0.7781,0.6150
594,l'emploi,0.7778,0.5353
595,za,0.7778,0.5190
596,sonne,0.7777,0.6364
597,bn,0.7777,0.6438
598,mage,0.7776,0.6684
599,trai,0.7776,0.6442
600,ordonnez,0.7773,0.5118
601,rance,0.7773,0.6633
602,usances,0.7771,0.6799
603,mylord,0.7768,0.5859
604,eul,0.7760,0.6980
605,anti,0.7756,0.6353
606,rour,0.7755,0.6899
607,bri,0.7754,0.6070
608,d'a,0.7753,0.6162
609,emi,0.7752,0.5942
610,dez,0.7748,0.6309
611,cles,0.7748,0.6309
612,d'orient,0.7748,0.6653
613,commc,0.7747,0.6938
614,suiv,0.7747,0.6545
615,person,0.7747,0.6453
616,d'ef,0.7746,0.6143
617,ruption,0.7746,0.5906
618,timons,0.7745,0.6260
619,rele,0.7745,0.7026
620,fa,0.7743,0.6146
621,l'u,0.7743,0.6378
622,miers,0.7739,0.6690
623,vôtre,0.7737,0.6995
624,jugeant,0.7737,0.5488
625,ainli,0.7734,0.5752
626,onne,0.7733,0.6547
627,d'ex,0.7733,0.7092
628,dessein,0.7730,0.6901
629,dre,0.7729,0.6736
630,avi,0.7728,0.5981
631,entiérement,0.7725,0.5836
632,préferer,0.7722,0.6031
633,ali,0.7720,0.6397
634,lord,0.7720,0.5477
635,ser,0.7718,0.6945
636,cune,0.7717,0.6863
637,convie,0.7715,0.7191
638,lant,0.7714,0.6683
639,appellant,0.7712,0.5470
640,iais,0.7711,0.6726
641,arrière,0.7711,0.5764
642,doc,0.7711,0.5986
643,l'h,0.7710,0.6296
644,utique,0.7706,0.5867
645,comm,0.7705,0.6562
646,s'engage,0.7704,0.6866
647,l'orateur,0.7704,0.6100
648,l'ou,0.7703,0.7372
649,pens,0.7703,0.5703
650,tra,0.7702,0.7660
651,exprès,0.7701,0.7802
652,d'avancer,0.7699,0.5704
653,pire,0.7699,0.6331
654,comn,0.7696,0.6332
655,lam,0.7694,0.5711
656,lifte,0.7692,0.6633
657,affranchis,0.7692,0.5159
658,choi,0.7689,0.6432
659,att,0.7689,0.5987
660,traitement,0.7688,0.4366
661,nme,0.7688,0.6329
662,sp,0.7684,0.5753
663,entieres,0.7679,0.7053
664,recon,0.7679,0.6626
665,rebellion,0.7674,0.5301
666,personnellement,0.7673,0.6435
667,plin,0.7673,0.6061
668,eq,0.7673,0.6140
669,dars,0.7673,0.6800
670,pals,0.7672,0.6521
671,vifs,0.7670,0.6866
672,niais,0.7667,0.6762
673,étran,0.7666,0.7125
674,cé,0.7665,0.6747
675,aujour,0.7664,0.8157
676,correction,0.7663,0.6377
677,sau,0.7659,0.7383
678,fet,0.7658,0.6056
679,contrai,0.7657,0.6702
680,régie,0.7656,0.4886
681,l'esclavage,0.7655,0.5599
